V,RU,V/TU,action1,regret,reward,mu1,mu2,game,trial,subject
0.0,0.0,0.0,True,0.46063542,2.612281530940716,-3.2041898,-2.7435544,0,0,1
1.7415210206271436,-3.3811978464829933,0.1885251806359636,True,0.46063542,-4.574868921672152,-3.2041898,-2.7435544,0,1,1
-0.7850349562925745,-4.422291236000336,-0.0895794487482344,False,0.0,-8.830937982981474,-3.2041898,-2.7435544,0,2,1
5.1022570323617416,-1.0410933895173429,0.8733191471293412,True,0.46063542,1.3721471635662246,-3.2041898,-2.7435544,0,3,1
5.718594780892827,-1.5950863694431885,1.0358788928588825,True,0.46063542,-10.166914959999838,-3.2041898,-2.7435544,0,4,1
3.496768613728749,-1.95213548685034,0.6556441150741403,True,0.46063542,-13.1513775034664,-3.2041898,-2.7435544,0,5,1
1.54024968126678,-2.2067113968948973,0.2955929642510658,True,0.46063542,4.6010626028611,-3.2041898,-2.7435544,0,6,1
2.9168812059204168,-2.4000013686160897,0.5692474153918408,True,0.46063542,4.51442083599397,-3.2041898,-2.7435544,0,7,1
3.9148587550841327,-2.553211035539717,0.7737418989948216,True,0.46063542,1.3068125385860387,-3.2041898,-2.7435544,0,8,1
4.300652375337807,-2.6785171532263425,0.8584488889526792,True,0.46063542,-4.043313257038092,-3.2041898,-2.7435544,0,9,1
0.0,0.0,0.0,True,0.0,6.647703513956255,6.722769,-14.665646,1,0,1
4.431802342637504,-3.3811978464829933,0.479756676659433,True,0.0,18.413554040039596,6.722769,-14.665646,1,1,1
10.024503021598338,-4.422291236000336,1.143884673480856,True,0.0,9.690313391158972,6.722769,-14.665646,1,2,1
9.929020270044234,-4.9762842159261815,1.160968501151225,True,0.0,12.82645063293807,6.722769,-14.665646,1,3,1
10.572893684020642,-5.333333333333333,1.2537909562617686,True,0.0,0.3097560400220667,6.722769,-14.665646,1,4,1
8.706868657839083,-5.58790924337789,1.042024009586148,True,0.0,-4.687547962754884,6.722769,-14.665646,1,5,1
6.646189177747703,-5.7811992150990825,0.8005535177909573,True,0.0,10.267212654915276,6.722769,-14.665646,1,6,1
7.128992308036713,-5.93440888202271,0.8628271401333427,True,0.0,13.00499760291539,6.722769,-14.665646,1,7,1
7.820287048610675,-6.059714999709335,0.9499941163402202,True,0.0,4.453705860009219,6.722769,-14.665646,1,8,1
7.465910081389469,-6.164674129035506,0.9096086270017392,True,0.0,2.5570468336419703,6.722769,-14.665646,1,9,1
0.0,0.0,0.0,True,17.395208,-4.167630555515255,0.6578356,18.053043,2,0,1
-2.778420370343503,-3.3811978464829933,-0.3007728278887052,False,0.0,12.04128902172971,0.6578356,18.053043,2,1,1
-10.805946384829976,0.0,-1.6543159269191243,False,0.0,17.03829232551627,0.6578356,18.053043,2,2,1
-14.410252909241894,1.0410933895173429,-2.4665064305456967,False,0.0,15.984105121841242,0.6578356,18.053043,2,3,1
-15.65375936151128,1.5950863694431885,-2.8355565550231225,False,0.0,24.695472140655337,0.6578356,18.053043,2,4,1
-18.28045561695296,1.95213548685034,-3.42758542817868,False,0.0,19.565410218800004,0.6578356,18.053043,2,5,1
-19.019251066442152,2.2067113968948973,-3.650029517254044,False,0.0,18.608902071734413,0.6578356,18.053043,2,6,1
-19.383569739616885,2.4000013686160897,-3.7828235695538495,False,0.0,13.545454847205662,0.6578356,18.053043,2,7,1
-18.97561047000785,2.553211035539717,-3.7503843173351896,False,0.0,16.643397528638374,0.6578356,18.053043,2,8,1
-19.028105461651855,2.6785171532263425,-3.798180965776476,False,0.0,17.49372400239633,0.6578356,18.053043,2,9,1
0.0,0.0,0.0,False,5.737646,-5.36891378495416,-0.007258412,-5.7449045,3,0,1
3.579275856636106,3.3811978464829933,0.3874679773748969,True,0.0,1.3738882550515563,-0.007258412,-5.7449045,3,1,1
4.4952013600038105,0.0,0.6881843514421454,True,0.0,6.809396546765896,-0.007258412,-5.7449045,3,2,1
6.852589777363086,-1.0410933895173429,1.172911874497208,True,0.0,-5.668115467954922,-0.007258412,-5.7449045,3,3,1
4.297895666311114,-1.5950863694431885,0.7785303164541155,True,0.0,4.750134406427125,-0.007258412,-5.7449045,3,4,1
5.193787798922696,-1.95213548685034,0.9738352122980052,True,0.0,5.98304828737341,-0.007258412,-5.7449045,3,5,1
5.988067134393027,-2.2067113968948973,1.149184145867738,True,0.0,5.791664001676483,-0.007258412,-5.7449045,3,6,1
6.508509091919113,-2.4000013686160897,1.2701758203622695,True,0.0,-4.037407573898508,-0.007258412,-5.7449045,3,7,1
5.579623650694911,-2.553211035539717,1.1027699514212284,True,0.0,1.5864890335441166,-0.007258412,-5.7449045,3,8,1
5.530934384752007,-2.6785171532263425,1.1040242416913746,True,0.0,9.957525909646726,-0.007258412,-5.7449045,3,9,1
0.0,0.0,0.0,False,10.929516,3.375240360714752,7.951045,-2.9784703,4,0,1
-2.250160240476501,3.3811978464829933,-0.2435869913547939,False,10.929516,2.8211037142990216,7.951045,-2.9784703,4,1,1
-2.4785376300055093,4.422291236000336,-0.2828231186623772,False,10.929516,-2.906052791859173,7.951045,-2.9784703,4,2,1
-0.9400832237584572,4.9762842159261815,-0.1099209168236903,False,10.929516,-0.8782337517772332,7.951045,-2.9784703,4,3,1
-0.5360127847505258,5.333333333333333,-0.0635632970542961,False,10.929516,0.8998848058308302,7.951045,-2.9784703,4,4,1
