answers,query_idx,game,subject
0.0,0,0,0
100.0,1,0,0
200.0,2,0,0
0.25,3,0,0
23.0,4,0,0
2.8,0,1,0
1.4,1,1,0
-5.0,2,1,0
2.6,3,1,0
2.28,4,1,0
4.6,0,2,0
5.4,1,2,0
3.5,2,2,0
3.4,3,2,0
9.7,4,2,0
12.75,0,3,0
9.6,1,3,0
12.0,2,3,0
10.0,3,3,0
11.5,4,3,0
3.25,0,4,0
5.4,1,4,0
3.3,2,4,0
12.7,3,4,0
5.5,4,4,0
95.0,0,0,1
12.0,1,0,1
225.0,2,0,1
0.5,3,0,1
0.5,4,0,1
-2.0,0,1,1
-2.0,1,1,1
-2.0,2,1,1
-2.0,3,1,1
-1.0,4,1,1
2.0,0,2,1
2.4,1,2,1
8.0,2,2,1
4.5,3,2,1
3.3,4,2,1
-5.0,0,3,1
2.5,1,3,1
3.3,2,3,1
5.5,3,3,1
3.2,4,3,1
9.7,0,4,1
3.8,1,4,1
5.5,2,4,1
0.9,3,4,1
8.1,4,4,1
209.6,0,0,2
0.5,1,0,2
0.61,2,0,2
12.0,3,0,2
8.0,4,0,2
5.6,0,1,2
4.1,1,1,2
4.6,2,1,2
4.5,3,1,2
5.5,4,1,2
6.5,0,2,2
8.4,1,2,2
5.7,2,2,2
5.5,3,2,2
5.5,4,2,2
9.0,0,3,2
5.4,1,3,2
5.5,2,3,2
9.3,3,3,2
5.5,4,3,2
5.3,0,4,2
0.9,1,4,2
5.5,2,4,2
2.7,3,4,2
3.7,4,4,2
0.5,0,0,3
7.0,1,0,3
3.5,2,0,3
2.5,3,0,3
0.5,4,0,3
9.03,0,1,3
8.1,1,1,3
4.7,2,1,3
2.7,3,1,3
1.7,4,1,3
0.1,0,2,3
6.0,1,2,3
4.5,2,2,3
5.9,3,2,3
0.5,4,2,3
10.5,0,3,3
12.4,1,3,3
11.7,2,3,3
11.67,3,3,3
12.0,4,3,3
9.85,0,4,3
9.3,1,4,3
9.7,2,4,3
9.3,3,4,3
11.4,4,4,3
100.0,0,0,4
200.0,1,0,4
10.0,2,0,4
200.0,3,0,4
0.5,4,0,4
6.3,0,1,4
4.5,1,1,4
3.5,2,1,4
9.1,3,1,4
8.5,4,1,4
9.6,0,2,4
11.4,1,2,4
9.4,2,2,4
12.3,3,2,4
9.1,4,2,4
9.7,0,3,4
9.4,1,3,4
10.5,2,3,4
9.7,3,3,4
9.5,4,3,4
10.5,0,4,4
11.5,1,4,4
0.3,2,4,4
5.5,3,4,4
10.1,4,4,4
200.0,0,0,5
9.0,1,0,5
0.5,2,0,5
12.0,3,0,5
990.0,4,0,5
1.3,0,1,5
5.0,1,1,5
2.3,2,1,5
4.5,3,1,5
2.4,4,1,5
5.7,0,2,5
9.5,1,2,5
9.7,2,2,5
5.5,3,2,5
11.4,4,2,5
4.5,0,3,5
5.83,1,3,5
4.5,2,3,5
6.3,3,3,5
6.5,4,3,5
9.7,0,4,5
9.8,1,4,5
3.2,2,4,5
9.7,3,4,5
0.5,4,4,5
0.5,0,0,6
9600.0,1,0,6
0.68,2,0,6
2.0,3,0,6
9.5,4,0,6
9.5,0,1,6
9.5,1,1,6
9.5,2,1,6
9.5,3,1,6
9.9,4,1,6
9.7,0,2,6
12.5,1,2,6
8.4,2,2,6
11.5,3,2,6
9.5,4,2,6
8.6,0,3,6
11.2,1,3,6
10.5,2,3,6
12.0,3,3,6
9.3,4,3,6
13.3,0,4,6
8.7,1,4,6
5.85,2,4,6
9.5,3,4,6
10.5,4,4,6
0.8,0,0,7
8.0,1,0,7
9.0,2,0,7
0.87,3,0,7
0.5,4,0,7
4.5,0,1,7
9.0,1,1,7
3.83,2,1,7
5.0,3,1,7
4.9,4,1,7
5.5,0,2,7
0.9,1,2,7
5.9,2,2,7
5.9,3,2,7
11.0,4,2,7
5.3,0,3,7
1.9,1,3,7
4.5,2,3,7
5.0,3,3,7
4.5,4,3,7
3.85,0,4,7
9.5,1,4,7
5.9,2,4,7
9.05,3,4,7
7.1,4,4,7
0.714,0,0,8
10.5,1,0,8
12.0,2,0,8
1000.0,3,0,8
0.5,4,0,8
5.0,0,1,8
6.7,1,1,8
3.5,2,1,8
3.9,3,1,8
5.4,4,1,8
4.7,0,2,8
3.5,1,2,8
4.5,2,2,8
4.5,3,2,8
5.4,4,2,8
3.9,0,3,8
3.6,1,3,8
3.9,2,3,8
3.5,3,3,8
9.3,4,3,8
3.85,0,4,8
3.3,1,4,8
1.1,2,4,8
1.28,3,4,8
-2.0,4,4,8
0.9,0,0,9
8.0,1,0,9
12.0,2,0,9
0.5,3,0,9
105.0,4,0,9
4.64,0,1,9
2.65,1,1,9
3.1,2,1,9
3.3,3,1,9
3.5,4,1,9
3.2,0,2,9
3.5,1,2,9
3.4,2,2,9
3.5,3,2,9
6.49,4,2,9
9.5,0,3,9
9.4,1,3,9
7.75,2,3,9
9.7,3,3,9
9.5,4,3,9
5.5,0,4,9
5.9,1,4,9
5.2,2,4,9
0.7,3,4,9
12.0,4,4,9
12.0,0,0,10
99700.0,1,0,10
200.0,2,0,10
0.5,3,0,10
0.7,4,0,10
10.0,0,1,10
8.85,1,1,10
9.44,2,1,10
9.5,3,1,10
9.7,4,1,10
9.5,0,2,10
7.5,1,2,10
12.5,2,2,10
12.4,3,2,10
9.9,4,2,10
11.4,0,3,10
10.5,1,3,10
8.4,2,3,10
5.7,3,3,10
9.7,4,3,10
9.5,0,4,10
11.8,1,4,10
5.6,2,4,10
9.6,3,4,10
2.2,4,4,10
9.5,0,0,11
3.0,1,0,11
4.0,2,0,11
10.0,3,0,11
21.0,4,0,11
14.5,0,1,11
17.1,1,1,11
12.9,2,1,11
17.0,3,1,11
21.0,4,1,11
12.8,0,2,11
11.4,1,2,11
12.9,2,2,11
11.1,3,2,11
12.9,4,2,11
11.4,0,3,11
13.5,1,3,11
13.5,2,3,11
11.4,3,3,11
11.5,4,3,11
12.5,0,4,11
10.5,1,4,11
12.5,2,4,11
9.5,3,4,11
12.9,4,4,11
72.0,0,0,12
0.0,1,0,12
0.5,2,0,12
0.5,3,0,12
50.0,4,0,12
5.7,0,1,12
5.0,1,1,12
5.5,2,1,12
5.1,3,1,12
3.54,4,1,12
3.4,0,2,12
5.86,1,2,12
2.7,2,2,12
2.7,3,2,12
7.85,4,2,12
4.9,0,3,12
4.5,1,3,12
5.7,2,3,12
7.0,3,3,12
7.4,4,3,12
5.7,0,4,12
5.5,1,4,12
6.2,2,4,12
4.7,3,4,12
5.7,4,4,12
2.5,0,0,13
0.5,1,0,13
48.0,2,0,13
6.0,3,0,13
10.0,4,0,13
3.5,0,1,13
3.86,1,1,13
5.8,2,1,13
4.5,3,1,13
4.7,4,1,13
2.4,0,2,13
2.5,1,2,13
1.8,2,2,13
8.6,3,2,13
3.2,4,2,13
3.5,0,3,13
7.1,1,3,13
5.5,2,3,13
5.1,3,3,13
5.7,4,3,13
5.6,0,4,13
4.1,1,4,13
5.1,2,4,13
1.1,3,4,13
5.67,4,4,13
3.5,0,0,14
50.0,1,0,14
0.5,2,0,14
65.0,3,0,14
2.1,4,0,14
3.85,0,1,14
3.86,1,1,14
1.8,2,1,14
1.7,3,1,14
3.9,4,1,14
5.4,0,2,14
4.9,1,2,14
5.0,2,2,14
5.94,3,2,14
4.5,4,2,14
9.5,0,3,14
7.4,1,3,14
7.9,2,3,14
9.7,3,3,14
9.5,4,3,14
5.0,0,4,14
4.5,1,4,14
7.4,2,4,14
4.25,3,4,14
5.3,4,4,14
20.0,0,0,15
0.5,1,0,15
0.5,2,0,15
15.0,3,0,15
2.5,4,0,15
11.2,0,1,15
15.2,1,1,15
6.5,2,1,15
9.6,3,1,15
9.6,4,1,15
9.6,0,2,15
9.6,1,2,15
11.7,2,2,15
14.5,3,2,15
9.6,4,2,15
9.6,0,3,15
9.6,1,3,15
9.75,2,3,15
7.9,3,3,15
9.2,4,3,15
12.5,0,4,15
9.8,1,4,15
9.7,2,4,15
9.5,3,4,15
9.0,4,4,15
0.8,0,0,16
100.0,1,0,16
0.5,2,0,16
0.471,3,0,16
8.5,4,0,16
-4.0,0,1,16
-2.0,1,1,16
-4.0,2,1,16
2.2,3,1,16
-1.0,4,1,16
1.5,0,2,16
3.3,1,2,16
2.6,2,2,16
3.9,3,2,16
3.79,4,2,16
4.5,0,3,16
5.0,1,3,16
