,task,item,choice,gt,num_previous_points
0,data/test/astronomy_test.csv,0,A,A,6
1,data/test/astronomy_test.csv,0,A,A,7
2,data/test/astronomy_test.csv,0,C,A,8
3,data/test/astronomy_test.csv,1,B,D,6
4,data/test/astronomy_test.csv,1,C,D,7
5,data/test/astronomy_test.csv,1,D,D,8
6,data/test/astronomy_test.csv,2,B,C,6
7,data/test/astronomy_test.csv,2,A,C,7
8,data/test/astronomy_test.csv,2,A,C,8
9,data/test/astronomy_test.csv,3,A,C,6
10,data/test/astronomy_test.csv,3,A,C,7
11,data/test/astronomy_test.csv,3,D,C,8
12,data/test/astronomy_test.csv,4,B,D,6
13,data/test/astronomy_test.csv,4,B,D,7
14,data/test/astronomy_test.csv,4,C,D,8
15,data/test/astronomy_test.csv,5,B,C,6
16,data/test/astronomy_test.csv,5,D,C,7
17,data/test/astronomy_test.csv,5,A,C,8
18,data/test/astronomy_test.csv,6,B,B,6
19,data/test/astronomy_test.csv,6,B,B,7
20,data/test/astronomy_test.csv,6,D,B,8
21,data/test/astronomy_test.csv,7,A,B,6
22,data/test/astronomy_test.csv,7,B,B,7
23,data/test/astronomy_test.csv,7,D,B,8
24,data/test/astronomy_test.csv,8,C,D,6
25,data/test/astronomy_test.csv,8,A,D,7
26,data/test/astronomy_test.csv,8,C,D,8
27,data/test/astronomy_test.csv,9,B,D,6
28,data/test/astronomy_test.csv,9,B,D,7
29,data/test/astronomy_test.csv,9,B,D,8
30,data/test/astronomy_test.csv,10,A,D,6
31,data/test/astronomy_test.csv,10,A,D,7
32,data/test/astronomy_test.csv,10,C,D,8
33,data/test/astronomy_test.csv,11,C,C,6
34,data/test/astronomy_test.csv,11,C,C,7
35,data/test/astronomy_test.csv,11,A,C,8
36,data/test/astronomy_test.csv,12,A,A,6
37,data/test/astronomy_test.csv,12,C,A,7
38,data/test/astronomy_test.csv,12,C,A,8
39,data/test/astronomy_test.csv,13,D,D,6
40,data/test/astronomy_test.csv,13,B,D,7
41,data/test/astronomy_test.csv,13,D,D,8
42,data/test/astronomy_test.csv,14,B,B,6
43,data/test/astronomy_test.csv,14,A,B,7
