,task,item,choice,gt,num_previous_points
0,data/test/college_chemistry_test.csv,0,A,D,6
1,data/test/college_chemistry_test.csv,0,B,D,7
2,data/test/college_chemistry_test.csv,0,B,D,8
3,data/test/college_chemistry_test.csv,1,C,C,6
4,data/test/college_chemistry_test.csv,1,B,C,7
5,data/test/college_chemistry_test.csv,1,C,C,8
6,data/test/college_chemistry_test.csv,2,A,D,6
7,data/test/college_chemistry_test.csv,2,D,D,7
8,data/test/college_chemistry_test.csv,2,D,D,8
9,data/test/college_chemistry_test.csv,3,C,B,6
10,data/test/college_chemistry_test.csv,3,B,B,7
11,data/test/college_chemistry_test.csv,3,C,B,8
12,data/test/college_chemistry_test.csv,4,A,B,6
13,data/test/college_chemistry_test.csv,4,A,B,7
14,data/test/college_chemistry_test.csv,4,C,B,8
15,data/test/college_chemistry_test.csv,5,D,B,6
16,data/test/college_chemistry_test.csv,5,A,B,7
17,data/test/college_chemistry_test.csv,5,A,B,8
18,data/test/college_chemistry_test.csv,6,A,A,6
19,data/test/college_chemistry_test.csv,6,C,A,7
20,data/test/college_chemistry_test.csv,6,C,A,8
21,data/test/college_chemistry_test.csv,7,C,D,6
22,data/test/college_chemistry_test.csv,7,C,D,7
23,data/test/college_chemistry_test.csv,7,B,D,8
24,data/test/college_chemistry_test.csv,8,C,C,6
25,data/test/college_chemistry_test.csv,8,D,C,7
26,data/test/college_chemistry_test.csv,8,D,C,8
27,data/test/college_chemistry_test.csv,9,A,D,6
28,data/test/college_chemistry_test.csv,9,B,D,7
29,data/test/college_chemistry_test.csv,9,D,D,8
30,data/test/college_chemistry_test.csv,10,D,D,6
31,data/test/college_chemistry_test.csv,10,B,D,7
32,data/test/college_chemistry_test.csv,10,C,D,8
33,data/test/college_chemistry_test.csv,11,B,B,6
34,data/test/college_chemistry_test.csv,11,B,B,7
35,data/test/college_chemistry_test.csv,11,D,B,8
36,data/test/college_chemistry_test.csv,12,C,A,6
37,data/test/college_chemistry_test.csv,12,A,A,7
38,data/test/college_chemistry_test.csv,12,D,A,8
39,data/test/college_chemistry_test.csv,13,D,D,6
40,data/test/college_chemistry_test.csv,13,D,D,7
41,data/test/college_chemistry_test.csv,13,B,D,8
42,data/test/college_chemistry_test.csv,14,B,D,6
43,data/test/college_chemistry_test.csv,14,D,D,7
44,data/test/college_chemistry_test.csv,14,B,D,8
45,data/test/college_chemistry_test.csv,15,C,C,6
46,data/test/college_chemistry_test.csv,15,C,C,7
47,data/test/college_chemistry_test.csv,15,C,C,8
48,data/test/college_chemistry_test.csv,16,A,D,6
49,data/test/college_chemistry_test.csv,16,A,D,7
50,data/test/college_chemistry_test.csv,16,B,D,8
51,data/test/college_chemistry_test.csv,17,B,D,6
