run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-0.52,-0.33,"[-1.0, -0.34, -0.45, -0.32, 0.2]",mileage,"[[-0.42, -0.28, -0.73, 0.34, 0.35], [-0.53, -0.44, -0.75, 0.28, 0.28], [-0.3, 0.03, -0.7, 0.5, 0.53], [-0.49, -0.43, -0.75, 0.18, 0.28], [-0.83, -0.82, -0.85, -0.19, -0.16]]","[[-0.67, -1.0, -1.0, -0.75, -1.0], [-0.33, -1.0, -0.33, -0.53, -0.29], [-0.67, -1.0, -0.33, -0.41, -0.42], [-0.67, -1.0, -0.33, -0.65, -0.87], [-0.67, -1.0, -0.33, -0.48, -0.55]]","[[-0.46, -0.74, -0.46, -0.83, 1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.76, -0.36, -0.35, -0.47, 1.0], [-0.53, -0.08, -0.58, -0.52, 1.0], [0.74, -0.19, -0.24, -0.37, -1.0]]","[[0.15, 1.0, -0.45, 0.11, -0.89], [-0.83, -1.0, -0.09, -0.51, -0.97], [-0.94, -1.0, -0.09, -1.0, -0.21], [-0.63, 0.2, 0.45, -0.34, -0.38], [-0.81, -0.6, 1.0, -0.64, -0.99]]","[-0.29, -0.36, -0.43, -0.36, -0.57]","[-0.18, 0.53, 0.34, 0.15, -0.11]","[-0.33, -0.33, 0.33, 0.33, -0.33]","[0.24, 0.4, -0.22, -0.57, 0.07]",abalone,birthweight,obesity,airfoil
0,1,-0.41,-0.52,"[0.0, -0.13, -0.39, -0.68, -0.6]",mileage,"[[-0.42, -0.28, -0.73, 0.34, 0.35], [-0.53, -0.44, -0.75, 0.28, 0.28], [-0.3, 0.03, -0.7, 0.5, 0.53], [-0.49, -0.43, -0.75, 0.18, 0.28], [-0.83, -0.82, -0.85, -0.19, -0.16]]","[[-0.67, -1.0, -1.0, -0.75, -1.0], [-0.33, -1.0, -0.33, -0.53, -0.29], [-0.67, -1.0, -0.33, -0.41, -0.42], [-0.67, -1.0, -0.33, -0.65, -0.87], [-0.67, -1.0, -0.33, -0.48, -0.55]]","[[-0.46, -0.74, -0.46, -0.83, 1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.76, -0.36, -0.35, -0.47, 1.0], [-0.53, -0.08, -0.58, -0.52, 1.0], [0.74, -0.19, -0.24, -0.37, -1.0]]","[[0.15, 1.0, -0.45, 0.11, -0.89], [-0.83, -1.0, -0.09, -0.51, -0.97], [-0.94, -1.0, -0.09, -1.0, -0.21], [-0.63, 0.2, 0.45, -0.34, -0.38], [-0.81, -0.6, 1.0, -0.64, -0.99]]","[-0.29, -0.36, -0.43, -0.36, -0.57]","[-0.18, 0.53, 0.34, 0.15, -0.11]","[-0.33, -0.33, 0.33, 0.33, -0.33]","[0.24, 0.4, -0.22, -0.57, 0.07]",abalone,birthweight,obesity,airfoil
0,2,-0.65,0.52,"[0.17, 0.54, 0.57, 0.72, 1.0]",mileage,"[[-0.42, -0.28, -0.73, 0.34, 0.35], [-0.53, -0.44, -0.75, 0.28, 0.28], [-0.3, 0.03, -0.7, 0.5, 0.53], [-0.49, -0.43, -0.75, 0.18, 0.28], [-0.83, -0.82, -0.85, -0.19, -0.16]]","[[-0.67, -1.0, -1.0, -0.75, -1.0], [-0.33, -1.0, -0.33, -0.53, -0.29], [-0.67, -1.0, -0.33, -0.41, -0.42], [-0.67, -1.0, -0.33, -0.65, -0.87], [-0.67, -1.0, -0.33, -0.48, -0.55]]","[[-0.46, -0.74, -0.46, -0.83, 1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.76, -0.36, -0.35, -0.47, 1.0], [-0.53, -0.08, -0.58, -0.52, 1.0], [0.74, -0.19, -0.24, -0.37, -1.0]]","[[0.15, 1.0, -0.45, 0.11, -0.89], [-0.83, -1.0, -0.09, -0.51, -0.97], [-0.94, -1.0, -0.09, -1.0, -0.21], [-0.63, 0.2, 0.45, -0.34, -0.38], [-0.81, -0.6, 1.0, -0.64, -0.99]]","[-0.29, -0.36, -0.43, -0.36, -0.57]","[-0.18, 0.53, 0.34, 0.15, -0.11]","[-0.33, -0.33, 0.33, 0.33, -0.33]","[0.24, 0.4, -0.22, -0.57, 0.07]",abalone,birthweight,obesity,airfoil
0,3,0.24,-0.41,"[0.83, -0.74, -0.77, -0.85, -0.6]",mileage,"[[-0.42, -0.28, -0.73, 0.34, 0.35], [-0.53, -0.44, -0.75, 0.28, 0.28], [-0.3, 0.03, -0.7, 0.5, 0.53], [-0.49, -0.43, -0.75, 0.18, 0.28], [-0.83, -0.82, -0.85, -0.19, -0.16]]","[[-0.67, -1.0, -1.0, -0.75, -1.0], [-0.33, -1.0, -0.33, -0.53, -0.29], [-0.67, -1.0, -0.33, -0.41, -0.42], [-0.67, -1.0, -0.33, -0.65, -0.87], [-0.67, -1.0, -0.33, -0.48, -0.55]]","[[-0.46, -0.74, -0.46, -0.83, 1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.76, -0.36, -0.35, -0.47, 1.0], [-0.53, -0.08, -0.58, -0.52, 1.0], [0.74, -0.19, -0.24, -0.37, -1.0]]","[[0.15, 1.0, -0.45, 0.11, -0.89], [-0.83, -1.0, -0.09, -0.51, -0.97], [-0.94, -1.0, -0.09, -1.0, -0.21], [-0.63, 0.2, 0.45, -0.34, -0.38], [-0.81, -0.6, 1.0, -0.64, -0.99]]","[-0.29, -0.36, -0.43, -0.36, -0.57]","[-0.18, 0.53, 0.34, 0.15, -0.11]","[-0.33, -0.33, 0.33, 0.33, -0.33]","[0.24, 0.4, -0.22, -0.57, 0.07]",abalone,birthweight,obesity,airfoil
0,4,-0.47,-0.41,"[0.0, -0.06, -0.54, -0.73, -0.6]",mileage,"[[-0.42, -0.28, -0.73, 0.34, 0.35], [-0.53, -0.44, -0.75, 0.28, 0.28], [-0.3, 0.03, -0.7, 0.5, 0.53], [-0.49, -0.43, -0.75, 0.18, 0.28], [-0.83, -0.82, -0.85, -0.19, -0.16]]","[[-0.67, -1.0, -1.0, -0.75, -1.0], [-0.33, -1.0, -0.33, -0.53, -0.29], [-0.67, -1.0, -0.33, -0.41, -0.42], [-0.67, -1.0, -0.33, -0.65, -0.87], [-0.67, -1.0, -0.33, -0.48, -0.55]]","[[-0.46, -0.74, -0.46, -0.83, 1.0], [0.19, -0.25, 0.71, -0.42, -1.0], [-0.76, -0.36, -0.35, -0.47, 1.0], [-0.53, -0.08, -0.58, -0.52, 1.0], [0.74, -0.19, -0.24, -0.37, -1.0]]","[[0.15, 1.0, -0.45, 0.11, -0.89], [-0.83, -1.0, -0.09, -0.51, -0.97], [-0.94, -1.0, -0.09, -1.0, -0.21], [-0.63, 0.2, 0.45, -0.34, -0.38], [-0.81, -0.6, 1.0, -0.64, -0.99]]","[-0.29, -0.36, -0.43, -0.36, -0.57]","[-0.18, 0.53, 0.34, 0.15, -0.11]","[-0.33, -0.33, 0.33, 0.33, -0.33]","[0.24, 0.4, -0.22, -0.57, 0.07]",abalone,birthweight,obesity,airfoil
1,0,-0.02,-0.04,"[0.33, -0.46, -0.47, -0.66, -0.6]",mileage,"[[-0.08, -0.17, -0.78, -0.48, -0.66], [-0.11, 0.16, -0.85, -0.25, -0.42], [0.44, -0.4, -1.0, -0.83, -0.37], [-0.46, 0.16, -0.76, -0.6, -0.76], [-0.28, 0.16, 0.21, 1.0, -0.3]]","[[-0.89, -0.71, -0.94, -0.91, -0.82], [-0.78, -0.03, -0.76, -0.79, -0.18], [-0.23, -0.24, -0.25, -0.16, -0.09], [-0.91, -0.9, -0.91, -0.9, -0.91], [-0.93, -0.83, -0.94, -0.92, -0.91]]","[[-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.33, -0.47, -0.19, -0.18, -0.37], [-0.4, -0.49, -0.27, -0.13, -0.4], [-0.36, -0.61, -0.51, -0.29, -0.53]]","[[1.0, -1.0, -0.44, 0.69, -0.14], [1.0, 1.0, 0.56, -0.08, 1.0], [-1.0, -1.0, -0.56, 0.23, -0.71], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.69, 0.71]]","[0.3, 0.25, 1.0, 0.2, 0.38]","[-0.61, -0.67, -0.01, -0.92, -0.89]","[-0.04, -0.15, 0.38, 0.04, -0.48]","[0.42, 0.28, 0.19, 0.48, 0.57]",fuel,pitcher,bodyfat,wage
1,1,-0.49,0.1,"[0.0, 0.15, -0.3, -0.06, 0.2]",mileage,"[[-0.08, -0.17, -0.78, -0.48, -0.66], [-0.11, 0.16, -0.85, -0.25, -0.42], [0.44, -0.4, -1.0, -0.83, -0.37], [-0.46, 0.16, -0.76, -0.6, -0.76], [-0.28, 0.16, 0.21, 1.0, -0.3]]","[[-0.89, -0.71, -0.94, -0.91, -0.82], [-0.78, -0.03, -0.76, -0.79, -0.18], [-0.23, -0.24, -0.25, -0.16, -0.09], [-0.91, -0.9, -0.91, -0.9, -0.91], [-0.93, -0.83, -0.94, -0.92, -0.91]]","[[-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.33, -0.47, -0.19, -0.18, -0.37], [-0.4, -0.49, -0.27, -0.13, -0.4], [-0.36, -0.61, -0.51, -0.29, -0.53]]","[[1.0, -1.0, -0.44, 0.69, -0.14], [1.0, 1.0, 0.56, -0.08, 1.0], [-1.0, -1.0, -0.56, 0.23, -0.71], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.69, 0.71]]","[0.3, 0.25, 1.0, 0.2, 0.38]","[-0.61, -0.67, -0.01, -0.92, -0.89]","[-0.04, -0.15, 0.38, 0.04, -0.48]","[0.42, 0.28, 0.19, 0.48, 0.57]",fuel,pitcher,bodyfat,wage
1,2,-0.26,-0.53,"[-0.83, -0.66, -0.57, -0.72, -0.6]",mileage,"[[-0.08, -0.17, -0.78, -0.48, -0.66], [-0.11, 0.16, -0.85, -0.25, -0.42], [0.44, -0.4, -1.0, -0.83, -0.37], [-0.46, 0.16, -0.76, -0.6, -0.76], [-0.28, 0.16, 0.21, 1.0, -0.3]]","[[-0.89, -0.71, -0.94, -0.91, -0.82], [-0.78, -0.03, -0.76, -0.79, -0.18], [-0.23, -0.24, -0.25, -0.16, -0.09], [-0.91, -0.9, -0.91, -0.9, -0.91], [-0.93, -0.83, -0.94, -0.92, -0.91]]","[[-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.33, -0.47, -0.19, -0.18, -0.37], [-0.4, -0.49, -0.27, -0.13, -0.4], [-0.36, -0.61, -0.51, -0.29, -0.53]]","[[1.0, -1.0, -0.44, 0.69, -0.14], [1.0, 1.0, 0.56, -0.08, 1.0], [-1.0, -1.0, -0.56, 0.23, -0.71], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.69, 0.71]]","[0.3, 0.25, 1.0, 0.2, 0.38]","[-0.61, -0.67, -0.01, -0.92, -0.89]","[-0.04, -0.15, 0.38, 0.04, -0.48]","[0.42, 0.28, 0.19, 0.48, 0.57]",fuel,pitcher,bodyfat,wage
1,3,-0.41,-0.14,"[-0.67, -0.55, -0.52, -0.63, -0.6]",mileage,"[[-0.08, -0.17, -0.78, -0.48, -0.66], [-0.11, 0.16, -0.85, -0.25, -0.42], [0.44, -0.4, -1.0, -0.83, -0.37], [-0.46, 0.16, -0.76, -0.6, -0.76], [-0.28, 0.16, 0.21, 1.0, -0.3]]","[[-0.89, -0.71, -0.94, -0.91, -0.82], [-0.78, -0.03, -0.76, -0.79, -0.18], [-0.23, -0.24, -0.25, -0.16, -0.09], [-0.91, -0.9, -0.91, -0.9, -0.91], [-0.93, -0.83, -0.94, -0.92, -0.91]]","[[-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.33, -0.47, -0.19, -0.18, -0.37], [-0.4, -0.49, -0.27, -0.13, -0.4], [-0.36, -0.61, -0.51, -0.29, -0.53]]","[[1.0, -1.0, -0.44, 0.69, -0.14], [1.0, 1.0, 0.56, -0.08, 1.0], [-1.0, -1.0, -0.56, 0.23, -0.71], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.69, 0.71]]","[0.3, 0.25, 1.0, 0.2, 0.38]","[-0.61, -0.67, -0.01, -0.92, -0.89]","[-0.04, -0.15, 0.38, 0.04, -0.48]","[0.42, 0.28, 0.19, 0.48, 0.57]",fuel,pitcher,bodyfat,wage
1,4,-0.55,-0.49,"[0.17, 0.08, -0.3, -0.06, 0.2]",mileage,"[[-0.08, -0.17, -0.78, -0.48, -0.66], [-0.11, 0.16, -0.85, -0.25, -0.42], [0.44, -0.4, -1.0, -0.83, -0.37], [-0.46, 0.16, -0.76, -0.6, -0.76], [-0.28, 0.16, 0.21, 1.0, -0.3]]","[[-0.89, -0.71, -0.94, -0.91, -0.82], [-0.78, -0.03, -0.76, -0.79, -0.18], [-0.23, -0.24, -0.25, -0.16, -0.09], [-0.91, -0.9, -0.91, -0.9, -0.91], [-0.93, -0.83, -0.94, -0.92, -0.91]]","[[-0.35, -0.63, -0.59, -0.55, -0.64], [-0.42, -0.53, -0.48, -0.41, -0.52], [-0.33, -0.47, -0.19, -0.18, -0.37], [-0.4, -0.49, -0.27, -0.13, -0.4], [-0.36, -0.61, -0.51, -0.29, -0.53]]","[[1.0, -1.0, -0.44, 0.69, -0.14], [1.0, 1.0, 0.56, -0.08, 1.0], [-1.0, -1.0, -0.56, 0.23, -0.71], [1.0, -1.0, 0.0, 0.38, 1.0], [1.0, -1.0, -0.11, 0.69, 0.71]]","[0.3, 0.25, 1.0, 0.2, 0.38]","[-0.61, -0.67, -0.01, -0.92, -0.89]","[-0.04, -0.15, 0.38, 0.04, -0.48]","[0.42, 0.28, 0.19, 0.48, 0.57]",fuel,pitcher,bodyfat,wage
