run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,0.13,-0.83,"[-0.83, -0.54, 0.21, 0.03, -0.16]",mortality,"[[-0.9, -0.33, -1.0, -1.0, 0.09], [-1.0, -1.0, -1.0, -1.0, -0.19], [-0.6, -0.33, 0.27, -1.0, 0.32], [0.4, -0.33, 0.26, -1.0, 0.3], [0.2, -0.33, -0.12, -1.0, 0.3]]","[[-1.0, -1.0, -0.86, -0.8, -1.0], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -0.9, -0.95, -0.71, -0.89], [-1.0, -1.0, -0.59, -0.87, -0.97], [-1.0, -0.97, -0.73, -0.84, -0.96]]","[[-1.0, -1.0, -0.34, 0.27, -0.44], [1.0, -1.0, -0.71, 0.12, 0.3], [-1.0, -1.0, 0.18, 0.51, -0.3], [-1.0, -1.0, -0.55, 0.65, -0.4], [-1.0, -1.0, -0.47, -0.02, 0.35]]","[[-0.78, -0.82, -0.97, -0.75, -0.95], [-0.7, -0.73, -0.85, -0.9, 0.24], [-0.75, -0.88, -0.77, -0.82, 0.33], [-0.92, -0.98, -0.74, -0.82, 0.28], [-0.7, -0.97, -0.69, -0.69, 0.29]]","[-0.41, -0.6, -0.31, 0.11, 0.27]","[-0.79, -0.31, -0.03, -0.52, -0.24]","[-0.9, -0.49, -0.93, -0.89, -0.47]","[-0.97, -0.96, -0.95, -0.91, -0.92]",prostate,lake,prefecture,algae
0,1,0.28,-0.1,"[-0.73, -0.86, 0.0, 0.21, 0.0]",mortality,"[[-0.9, -0.33, -1.0, -1.0, 0.09], [-1.0, -1.0, -1.0, -1.0, -0.19], [-0.6, -0.33, 0.27, -1.0, 0.32], [0.4, -0.33, 0.26, -1.0, 0.3], [0.2, -0.33, -0.12, -1.0, 0.3]]","[[-1.0, -1.0, -0.86, -0.8, -1.0], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -0.9, -0.95, -0.71, -0.89], [-1.0, -1.0, -0.59, -0.87, -0.97], [-1.0, -0.97, -0.73, -0.84, -0.96]]","[[-1.0, -1.0, -0.34, 0.27, -0.44], [1.0, -1.0, -0.71, 0.12, 0.3], [-1.0, -1.0, 0.18, 0.51, -0.3], [-1.0, -1.0, -0.55, 0.65, -0.4], [-1.0, -1.0, -0.47, -0.02, 0.35]]","[[-0.78, -0.82, -0.97, -0.75, -0.95], [-0.7, -0.73, -0.85, -0.9, 0.24], [-0.75, -0.88, -0.77, -0.82, 0.33], [-0.92, -0.98, -0.74, -0.82, 0.28], [-0.7, -0.97, -0.69, -0.69, 0.29]]","[-0.41, -0.6, -0.31, 0.11, 0.27]","[-0.79, -0.31, -0.03, -0.52, -0.24]","[-0.9, -0.49, -0.93, -0.89, -0.47]","[-0.97, -0.96, -0.95, -0.91, -0.92]",prostate,lake,prefecture,algae
0,2,-0.59,0.14,"[-0.82, -0.94, 0.36, 0.88, -0.4]",mortality,"[[-0.9, -0.33, -1.0, -1.0, 0.09], [-1.0, -1.0, -1.0, -1.0, -0.19], [-0.6, -0.33, 0.27, -1.0, 0.32], [0.4, -0.33, 0.26, -1.0, 0.3], [0.2, -0.33, -0.12, -1.0, 0.3]]","[[-1.0, -1.0, -0.86, -0.8, -1.0], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -0.9, -0.95, -0.71, -0.89], [-1.0, -1.0, -0.59, -0.87, -0.97], [-1.0, -0.97, -0.73, -0.84, -0.96]]","[[-1.0, -1.0, -0.34, 0.27, -0.44], [1.0, -1.0, -0.71, 0.12, 0.3], [-1.0, -1.0, 0.18, 0.51, -0.3], [-1.0, -1.0, -0.55, 0.65, -0.4], [-1.0, -1.0, -0.47, -0.02, 0.35]]","[[-0.78, -0.82, -0.97, -0.75, -0.95], [-0.7, -0.73, -0.85, -0.9, 0.24], [-0.75, -0.88, -0.77, -0.82, 0.33], [-0.92, -0.98, -0.74, -0.82, 0.28], [-0.7, -0.97, -0.69, -0.69, 0.29]]","[-0.41, -0.6, -0.31, 0.11, 0.27]","[-0.79, -0.31, -0.03, -0.52, -0.24]","[-0.9, -0.49, -0.93, -0.89, -0.47]","[-0.97, -0.96, -0.95, -0.91, -0.92]",prostate,lake,prefecture,algae
0,3,0.32,0.14,"[-0.7, -0.4, 0.29, 0.39, 0.4]",mortality,"[[-0.9, -0.33, -1.0, -1.0, 0.09], [-1.0, -1.0, -1.0, -1.0, -0.19], [-0.6, -0.33, 0.27, -1.0, 0.32], [0.4, -0.33, 0.26, -1.0, 0.3], [0.2, -0.33, -0.12, -1.0, 0.3]]","[[-1.0, -1.0, -0.86, -0.8, -1.0], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -0.9, -0.95, -0.71, -0.89], [-1.0, -1.0, -0.59, -0.87, -0.97], [-1.0, -0.97, -0.73, -0.84, -0.96]]","[[-1.0, -1.0, -0.34, 0.27, -0.44], [1.0, -1.0, -0.71, 0.12, 0.3], [-1.0, -1.0, 0.18, 0.51, -0.3], [-1.0, -1.0, -0.55, 0.65, -0.4], [-1.0, -1.0, -0.47, -0.02, 0.35]]","[[-0.78, -0.82, -0.97, -0.75, -0.95], [-0.7, -0.73, -0.85, -0.9, 0.24], [-0.75, -0.88, -0.77, -0.82, 0.33], [-0.92, -0.98, -0.74, -0.82, 0.28], [-0.7, -0.97, -0.69, -0.69, 0.29]]","[-0.41, -0.6, -0.31, 0.11, 0.27]","[-0.79, -0.31, -0.03, -0.52, -0.24]","[-0.9, -0.49, -0.93, -0.89, -0.47]","[-0.97, -0.96, -0.95, -0.91, -0.92]",prostate,lake,prefecture,algae
0,4,-0.01,0.14,"[-0.83, -0.84, -0.06, 0.45, 0.12]",mortality,"[[-0.9, -0.33, -1.0, -1.0, 0.09], [-1.0, -1.0, -1.0, -1.0, -0.19], [-0.6, -0.33, 0.27, -1.0, 0.32], [0.4, -0.33, 0.26, -1.0, 0.3], [0.2, -0.33, -0.12, -1.0, 0.3]]","[[-1.0, -1.0, -0.86, -0.8, -1.0], [-1.0, -0.99, -0.62, -1.0, -1.0], [-1.0, -0.9, -0.95, -0.71, -0.89], [-1.0, -1.0, -0.59, -0.87, -0.97], [-1.0, -0.97, -0.73, -0.84, -0.96]]","[[-1.0, -1.0, -0.34, 0.27, -0.44], [1.0, -1.0, -0.71, 0.12, 0.3], [-1.0, -1.0, 0.18, 0.51, -0.3], [-1.0, -1.0, -0.55, 0.65, -0.4], [-1.0, -1.0, -0.47, -0.02, 0.35]]","[[-0.78, -0.82, -0.97, -0.75, -0.95], [-0.7, -0.73, -0.85, -0.9, 0.24], [-0.75, -0.88, -0.77, -0.82, 0.33], [-0.92, -0.98, -0.74, -0.82, 0.28], [-0.7, -0.97, -0.69, -0.69, 0.29]]","[-0.41, -0.6, -0.31, 0.11, 0.27]","[-0.79, -0.31, -0.03, -0.52, -0.24]","[-0.9, -0.49, -0.93, -0.89, -0.47]","[-0.97, -0.96, -0.95, -0.91, -0.92]",prostate,lake,prefecture,algae
1,0,0.49,0.16,"[-0.49, 1.0, -1.0, -0.27, 0.72]",mortality,"[[-0.7, -1.0, -0.43, 0.83, 1.0], [-0.91, 1.0, 0.14, -0.65, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.13, 1.0, 0.71, -0.74, -1.0]]","[[-0.84, -0.92, -0.89, -0.91, -0.89], [-0.77, -0.85, -0.78, -0.85, -0.81], [-0.84, -0.83, -0.95, -0.81, -0.81], [-0.97, -1.0, -0.99, -0.98, -0.98], [-0.89, -0.73, -0.99, -0.78, -0.75]]","[[1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, -0.1, 0.06, -0.34, -0.87], [-1.0, -0.54, -0.19, 0.1, 0.17], [1.0, -0.93, -0.19, 0.01, -0.07], [1.0, -0.88, -0.38, 0.2, -0.05]]","[[1.0, -1.0, 0.81, -0.6, -0.92], [1.0, 0.81, -0.76, 0.6, 0.66], [1.0, 0.62, 0.15, 0.47, 0.19], [1.0, 0.52, 0.17, -0.2, -0.1], [-1.0, -0.24, -0.14, -0.2, -0.96]]","[-0.59, 0.16, 0.59, 0.47, 0.32]","[-0.71, -0.47, -0.76, -0.97, -0.47]","[0.29, -0.3, -0.76, -0.43, -0.35]","[-0.27, -0.21, 0.5, -0.45, -0.97]",bone,hitter,homeless,reactor
1,1,-0.59,0.16,"[-0.82, -0.94, 0.36, 0.88, -0.4]",mortality,"[[-0.7, -1.0, -0.43, 0.83, 1.0], [-0.91, 1.0, 0.14, -0.65, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.13, 1.0, 0.71, -0.74, -1.0]]","[[-0.84, -0.92, -0.89, -0.91, -0.89], [-0.77, -0.85, -0.78, -0.85, -0.81], [-0.84, -0.83, -0.95, -0.81, -0.81], [-0.97, -1.0, -0.99, -0.98, -0.98], [-0.89, -0.73, -0.99, -0.78, -0.75]]","[[1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, -0.1, 0.06, -0.34, -0.87], [-1.0, -0.54, -0.19, 0.1, 0.17], [1.0, -0.93, -0.19, 0.01, -0.07], [1.0, -0.88, -0.38, 0.2, -0.05]]","[[1.0, -1.0, 0.81, -0.6, -0.92], [1.0, 0.81, -0.76, 0.6, 0.66], [1.0, 0.62, 0.15, 0.47, 0.19], [1.0, 0.52, 0.17, -0.2, -0.1], [-1.0, -0.24, -0.14, -0.2, -0.96]]","[-0.59, 0.16, 0.59, 0.47, 0.32]","[-0.71, -0.47, -0.76, -0.97, -0.47]","[0.29, -0.3, -0.76, -0.43, -0.35]","[-0.27, -0.21, 0.5, -0.45, -0.97]",bone,hitter,homeless,reactor
1,2,0.41,0.16,"[-0.81, 0.14, -0.8, -0.64, 0.68]",mortality,"[[-0.7, -1.0, -0.43, 0.83, 1.0], [-0.91, 1.0, 0.14, -0.65, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.13, 1.0, 0.71, -0.74, -1.0]]","[[-0.84, -0.92, -0.89, -0.91, -0.89], [-0.77, -0.85, -0.78, -0.85, -0.81], [-0.84, -0.83, -0.95, -0.81, -0.81], [-0.97, -1.0, -0.99, -0.98, -0.98], [-0.89, -0.73, -0.99, -0.78, -0.75]]","[[1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, -0.1, 0.06, -0.34, -0.87], [-1.0, -0.54, -0.19, 0.1, 0.17], [1.0, -0.93, -0.19, 0.01, -0.07], [1.0, -0.88, -0.38, 0.2, -0.05]]","[[1.0, -1.0, 0.81, -0.6, -0.92], [1.0, 0.81, -0.76, 0.6, 0.66], [1.0, 0.62, 0.15, 0.47, 0.19], [1.0, 0.52, 0.17, -0.2, -0.1], [-1.0, -0.24, -0.14, -0.2, -0.96]]","[-0.59, 0.16, 0.59, 0.47, 0.32]","[-0.71, -0.47, -0.76, -0.97, -0.47]","[0.29, -0.3, -0.76, -0.43, -0.35]","[-0.27, -0.21, 0.5, -0.45, -0.97]",bone,hitter,homeless,reactor
1,3,0.74,0.14,"[0.48, 0.25, 0.49, -0.64, 0.32]",mortality,"[[-0.7, -1.0, -0.43, 0.83, 1.0], [-0.91, 1.0, 0.14, -0.65, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.13, 1.0, 0.71, -0.74, -1.0]]","[[-0.84, -0.92, -0.89, -0.91, -0.89], [-0.77, -0.85, -0.78, -0.85, -0.81], [-0.84, -0.83, -0.95, -0.81, -0.81], [-0.97, -1.0, -0.99, -0.98, -0.98], [-0.89, -0.73, -0.99, -0.78, -0.75]]","[[1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, -0.1, 0.06, -0.34, -0.87], [-1.0, -0.54, -0.19, 0.1, 0.17], [1.0, -0.93, -0.19, 0.01, -0.07], [1.0, -0.88, -0.38, 0.2, -0.05]]","[[1.0, -1.0, 0.81, -0.6, -0.92], [1.0, 0.81, -0.76, 0.6, 0.66], [1.0, 0.62, 0.15, 0.47, 0.19], [1.0, 0.52, 0.17, -0.2, -0.1], [-1.0, -0.24, -0.14, -0.2, -0.96]]","[-0.59, 0.16, 0.59, 0.47, 0.32]","[-0.71, -0.47, -0.76, -0.97, -0.47]","[0.29, -0.3, -0.76, -0.43, -0.35]","[-0.27, -0.21, 0.5, -0.45, -0.97]",bone,hitter,homeless,reactor
1,4,-0.57,0.1,"[-1.0, -0.26, 0.1, 0.7, 0.0]",mortality,"[[-0.7, -1.0, -0.43, 0.83, 1.0], [-0.91, 1.0, 0.14, -0.65, 1.0], [-0.65, -1.0, -0.62, 0.14, 1.0], [-0.65, 1.0, 0.9, -0.83, 1.0], [-0.13, 1.0, 0.71, -0.74, -1.0]]","[[-0.84, -0.92, -0.89, -0.91, -0.89], [-0.77, -0.85, -0.78, -0.85, -0.81], [-0.84, -0.83, -0.95, -0.81, -0.81], [-0.97, -1.0, -0.99, -0.98, -0.98], [-0.89, -0.73, -0.99, -0.78, -0.75]]","[[1.0, -0.93, 0.5, -0.9, -0.37], [-1.0, -0.1, 0.06, -0.34, -0.87], [-1.0, -0.54, -0.19, 0.1, 0.17], [1.0, -0.93, -0.19, 0.01, -0.07], [1.0, -0.88, -0.38, 0.2, -0.05]]","[[1.0, -1.0, 0.81, -0.6, -0.92], [1.0, 0.81, -0.76, 0.6, 0.66], [1.0, 0.62, 0.15, 0.47, 0.19], [1.0, 0.52, 0.17, -0.2, -0.1], [-1.0, -0.24, -0.14, -0.2, -0.96]]","[-0.59, 0.16, 0.59, 0.47, 0.32]","[-0.71, -0.47, -0.76, -0.97, -0.47]","[0.29, -0.3, -0.76, -0.43, -0.35]","[-0.27, -0.21, 0.5, -0.45, -0.97]",bone,hitter,homeless,reactor
