run,trial,ytrue,ypred,x,name,task1x,task2x,task3x,task4x,task1y,task2y,task3y,task4y,task1name,task2name,task3name,task4name
0,0,-1.0,0.1,"[1.0, 0.04, -0.26, -0.92, 1.0]",medexp,"[[-0.6, -1.0, 1.0, -1.0, -0.73], [0.2, 1.0, 1.0, -1.0, 0.68], [0.2, -1.0, -1.0, 1.0, -0.36], [-0.6, 1.0, 1.0, 1.0, -0.57], [-0.2, -1.0, 1.0, 1.0, -0.47]]","[[-0.34, -0.56, -0.98, -0.98, -0.69], [-0.31, -0.87, -0.89, -0.11, -0.89], [0.47, -0.59, -0.85, -0.62, 0.49], [0.0, -0.71, -0.93, -0.68, -0.95], [0.91, 1.0, -0.69, -0.35, 1.0]]","[[1.0, 0.14, 0.81, -0.47, -0.58], [-1.0, 0.05, 0.27, -0.33, -0.66], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, -0.43, -0.01, -0.2, -0.19], [-1.0, -0.33, 0.08, -0.73, -1.0]]","[[1.0, 1.0, -0.22, 0.23, 0.43], [-1.0, -1.0, -0.44, 0.38, -0.43], [-1.0, -1.0, -0.33, 0.85, 0.43], [1.0, 1.0, -0.56, -0.08, -0.71], [-1.0, -1.0, -0.22, 0.85, 0.43]]","[0.13, -0.76, -0.62, -0.76, -0.54]","[-0.53, -0.45, -0.25, -0.85, 0.9]","[0.32, -0.78, -0.59, -0.42, -0.76]","[0.35, 0.3, 0.45, 0.33, 0.5]",tip,movie,reactor,wage
0,1,-1.0,-0.67,"[-1.0, -0.64, 0.17, -0.67, 1.0]",medexp,"[[-0.6, -1.0, 1.0, -1.0, -0.73], [0.2, 1.0, 1.0, -1.0, 0.68], [0.2, -1.0, -1.0, 1.0, -0.36], [-0.6, 1.0, 1.0, 1.0, -0.57], [-0.2, -1.0, 1.0, 1.0, -0.47]]","[[-0.34, -0.56, -0.98, -0.98, -0.69], [-0.31, -0.87, -0.89, -0.11, -0.89], [0.47, -0.59, -0.85, -0.62, 0.49], [0.0, -0.71, -0.93, -0.68, -0.95], [0.91, 1.0, -0.69, -0.35, 1.0]]","[[1.0, 0.14, 0.81, -0.47, -0.58], [-1.0, 0.05, 0.27, -0.33, -0.66], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, -0.43, -0.01, -0.2, -0.19], [-1.0, -0.33, 0.08, -0.73, -1.0]]","[[1.0, 1.0, -0.22, 0.23, 0.43], [-1.0, -1.0, -0.44, 0.38, -0.43], [-1.0, -1.0, -0.33, 0.85, 0.43], [1.0, 1.0, -0.56, -0.08, -0.71], [-1.0, -1.0, -0.22, 0.85, 0.43]]","[0.13, -0.76, -0.62, -0.76, -0.54]","[-0.53, -0.45, -0.25, -0.85, 0.9]","[0.32, -0.78, -0.59, -0.42, -0.76]","[0.35, 0.3, 0.45, 0.33, 0.5]",tip,movie,reactor,wage
0,2,-1.0,-1.0,"[1.0, 0.32, -0.26, -0.92, 1.0]",medexp,"[[-0.6, -1.0, 1.0, -1.0, -0.73], [0.2, 1.0, 1.0, -1.0, 0.68], [0.2, -1.0, -1.0, 1.0, -0.36], [-0.6, 1.0, 1.0, 1.0, -0.57], [-0.2, -1.0, 1.0, 1.0, -0.47]]","[[-0.34, -0.56, -0.98, -0.98, -0.69], [-0.31, -0.87, -0.89, -0.11, -0.89], [0.47, -0.59, -0.85, -0.62, 0.49], [0.0, -0.71, -0.93, -0.68, -0.95], [0.91, 1.0, -0.69, -0.35, 1.0]]","[[1.0, 0.14, 0.81, -0.47, -0.58], [-1.0, 0.05, 0.27, -0.33, -0.66], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, -0.43, -0.01, -0.2, -0.19], [-1.0, -0.33, 0.08, -0.73, -1.0]]","[[1.0, 1.0, -0.22, 0.23, 0.43], [-1.0, -1.0, -0.44, 0.38, -0.43], [-1.0, -1.0, -0.33, 0.85, 0.43], [1.0, 1.0, -0.56, -0.08, -0.71], [-1.0, -1.0, -0.22, 0.85, 0.43]]","[0.13, -0.76, -0.62, -0.76, -0.54]","[-0.53, -0.45, -0.25, -0.85, 0.9]","[0.32, -0.78, -0.59, -0.42, -0.76]","[0.35, 0.3, 0.45, 0.33, 0.5]",tip,movie,reactor,wage
0,3,-1.0,-1.0,"[-1.0, -0.6, -0.26, -0.62, -1.0]",medexp,"[[-0.6, -1.0, 1.0, -1.0, -0.73], [0.2, 1.0, 1.0, -1.0, 0.68], [0.2, -1.0, -1.0, 1.0, -0.36], [-0.6, 1.0, 1.0, 1.0, -0.57], [-0.2, -1.0, 1.0, 1.0, -0.47]]","[[-0.34, -0.56, -0.98, -0.98, -0.69], [-0.31, -0.87, -0.89, -0.11, -0.89], [0.47, -0.59, -0.85, -0.62, 0.49], [0.0, -0.71, -0.93, -0.68, -0.95], [0.91, 1.0, -0.69, -0.35, 1.0]]","[[1.0, 0.14, 0.81, -0.47, -0.58], [-1.0, 0.05, 0.27, -0.33, -0.66], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, -0.43, -0.01, -0.2, -0.19], [-1.0, -0.33, 0.08, -0.73, -1.0]]","[[1.0, 1.0, -0.22, 0.23, 0.43], [-1.0, -1.0, -0.44, 0.38, -0.43], [-1.0, -1.0, -0.33, 0.85, 0.43], [1.0, 1.0, -0.56, -0.08, -0.71], [-1.0, -1.0, -0.22, 0.85, 0.43]]","[0.13, -0.76, -0.62, -0.76, -0.54]","[-0.53, -0.45, -0.25, -0.85, 0.9]","[0.32, -0.78, -0.59, -0.42, -0.76]","[0.35, 0.3, 0.45, 0.33, 0.5]",tip,movie,reactor,wage
0,4,-0.99,-1.0,"[1.0, 0.41, 0.17, -0.73, 1.0]",medexp,"[[-0.6, -1.0, 1.0, -1.0, -0.73], [0.2, 1.0, 1.0, -1.0, 0.68], [0.2, -1.0, -1.0, 1.0, -0.36], [-0.6, 1.0, 1.0, 1.0, -0.57], [-0.2, -1.0, 1.0, 1.0, -0.47]]","[[-0.34, -0.56, -0.98, -0.98, -0.69], [-0.31, -0.87, -0.89, -0.11, -0.89], [0.47, -0.59, -0.85, -0.62, 0.49], [0.0, -0.71, -0.93, -0.68, -0.95], [0.91, 1.0, -0.69, -0.35, 1.0]]","[[1.0, 0.14, 0.81, -0.47, -0.58], [-1.0, 0.05, 0.27, -0.33, -0.66], [1.0, -0.71, -0.83, -0.2, -0.62], [1.0, -0.43, -0.01, -0.2, -0.19], [-1.0, -0.33, 0.08, -0.73, -1.0]]","[[1.0, 1.0, -0.22, 0.23, 0.43], [-1.0, -1.0, -0.44, 0.38, -0.43], [-1.0, -1.0, -0.33, 0.85, 0.43], [1.0, 1.0, -0.56, -0.08, -0.71], [-1.0, -1.0, -0.22, 0.85, 0.43]]","[0.13, -0.76, -0.62, -0.76, -0.54]","[-0.53, -0.45, -0.25, -0.85, 0.9]","[0.32, -0.78, -0.59, -0.42, -0.76]","[0.35, 0.3, 0.45, 0.33, 0.5]",tip,movie,reactor,wage
1,0,-1.0,-0.33,"[1.0, 0.67, 0.34, -0.56, 1.0]",medexp,"[[-0.88, -0.75, -0.95, -0.79, -0.75], [-0.62, -0.78, -0.82, -0.71, -0.69], [-0.86, -0.76, -0.98, -0.78, -0.77], [0.28, -0.16, -0.05, -0.11, -0.04], [-0.84, -0.75, -0.85, -0.84, -0.81]]","[[1.0, 1.0, 0.16, 0.0, -0.46], [1.0, 1.0, 0.01, 0.0, -0.21], [1.0, 1.0, 0.35, -0.33, -0.37], [1.0, -1.0, -0.05, -0.33, -0.37], [1.0, -1.0, -1.0, -0.33, -0.25]]","[[0.5, 0.0, 0.5, -0.37, -0.55], [-1.0, -1.0, -1.0, -0.72, -0.58], [-1.0, -1.0, -1.0, -0.88, -0.55], [-0.5, -0.5, -0.5, -0.91, -0.92], [0.5, 0.5, 0.5, -0.67, -0.49]]","[[-0.52, 1.0, -0.73, 0.28, 0.21], [0.21, -0.46, -0.48, -0.78, -0.79], [-0.76, 0.42, 0.33, -0.21, -0.14], [1.0, 0.71, -0.66, 0.28, 0.29], [-0.18, 0.2, -0.77, -0.66, -0.72]]","[-0.46, -0.59, -0.6, -0.47, -0.72]","[-0.47, -0.29, 0.03, 0.31, -0.06]","[-0.11, -0.05, 1.0, -0.06, -0.33]","[-0.59, -0.57, -0.62, -0.29, -0.61]",hitter,rent,mammal,crime
1,1,-1.0,-0.99,"[-1.0, -0.75, -0.57, -0.62, 1.0]",medexp,"[[-0.88, -0.75, -0.95, -0.79, -0.75], [-0.62, -0.78, -0.82, -0.71, -0.69], [-0.86, -0.76, -0.98, -0.78, -0.77], [0.28, -0.16, -0.05, -0.11, -0.04], [-0.84, -0.75, -0.85, -0.84, -0.81]]","[[1.0, 1.0, 0.16, 0.0, -0.46], [1.0, 1.0, 0.01, 0.0, -0.21], [1.0, 1.0, 0.35, -0.33, -0.37], [1.0, -1.0, -0.05, -0.33, -0.37], [1.0, -1.0, -1.0, -0.33, -0.25]]","[[0.5, 0.0, 0.5, -0.37, -0.55], [-1.0, -1.0, -1.0, -0.72, -0.58], [-1.0, -1.0, -1.0, -0.88, -0.55], [-0.5, -0.5, -0.5, -0.91, -0.92], [0.5, 0.5, 0.5, -0.67, -0.49]]","[[-0.52, 1.0, -0.73, 0.28, 0.21], [0.21, -0.46, -0.48, -0.78, -0.79], [-0.76, 0.42, 0.33, -0.21, -0.14], [1.0, 0.71, -0.66, 0.28, 0.29], [-0.18, 0.2, -0.77, -0.66, -0.72]]","[-0.46, -0.59, -0.6, -0.47, -0.72]","[-0.47, -0.29, 0.03, 0.31, -0.06]","[-0.11, -0.05, 1.0, -0.06, -0.33]","[-0.59, -0.57, -0.62, -0.29, -0.61]",hitter,rent,mammal,crime
1,2,-1.0,-1.0,"[-1.0, -0.79, -0.26, -0.67, 1.0]",medexp,"[[-0.88, -0.75, -0.95, -0.79, -0.75], [-0.62, -0.78, -0.82, -0.71, -0.69], [-0.86, -0.76, -0.98, -0.78, -0.77], [0.28, -0.16, -0.05, -0.11, -0.04], [-0.84, -0.75, -0.85, -0.84, -0.81]]","[[1.0, 1.0, 0.16, 0.0, -0.46], [1.0, 1.0, 0.01, 0.0, -0.21], [1.0, 1.0, 0.35, -0.33, -0.37], [1.0, -1.0, -0.05, -0.33, -0.37], [1.0, -1.0, -1.0, -0.33, -0.25]]","[[0.5, 0.0, 0.5, -0.37, -0.55], [-1.0, -1.0, -1.0, -0.72, -0.58], [-1.0, -1.0, -1.0, -0.88, -0.55], [-0.5, -0.5, -0.5, -0.91, -0.92], [0.5, 0.5, 0.5, -0.67, -0.49]]","[[-0.52, 1.0, -0.73, 0.28, 0.21], [0.21, -0.46, -0.48, -0.78, -0.79], [-0.76, 0.42, 0.33, -0.21, -0.14], [1.0, 0.71, -0.66, 0.28, 0.29], [-0.18, 0.2, -0.77, -0.66, -0.72]]","[-0.46, -0.59, -0.6, -0.47, -0.72]","[-0.47, -0.29, 0.03, 0.31, -0.06]","[-0.11, -0.05, 1.0, -0.06, -0.33]","[-0.59, -0.57, -0.62, -0.29, -0.61]",hitter,rent,mammal,crime
1,3,-1.0,-1.0,"[1.0, -0.15, -0.57, -1.0, 1.0]",medexp,"[[-0.88, -0.75, -0.95, -0.79, -0.75], [-0.62, -0.78, -0.82, -0.71, -0.69], [-0.86, -0.76, -0.98, -0.78, -0.77], [0.28, -0.16, -0.05, -0.11, -0.04], [-0.84, -0.75, -0.85, -0.84, -0.81]]","[[1.0, 1.0, 0.16, 0.0, -0.46], [1.0, 1.0, 0.01, 0.0, -0.21], [1.0, 1.0, 0.35, -0.33, -0.37], [1.0, -1.0, -0.05, -0.33, -0.37], [1.0, -1.0, -1.0, -0.33, -0.25]]","[[0.5, 0.0, 0.5, -0.37, -0.55], [-1.0, -1.0, -1.0, -0.72, -0.58], [-1.0, -1.0, -1.0, -0.88, -0.55], [-0.5, -0.5, -0.5, -0.91, -0.92], [0.5, 0.5, 0.5, -0.67, -0.49]]","[[-0.52, 1.0, -0.73, 0.28, 0.21], [0.21, -0.46, -0.48, -0.78, -0.79], [-0.76, 0.42, 0.33, -0.21, -0.14], [1.0, 0.71, -0.66, 0.28, 0.29], [-0.18, 0.2, -0.77, -0.66, -0.72]]","[-0.46, -0.59, -0.6, -0.47, -0.72]","[-0.47, -0.29, 0.03, 0.31, -0.06]","[-0.11, -0.05, 1.0, -0.06, -0.33]","[-0.59, -0.57, -0.62, -0.29, -0.61]",hitter,rent,mammal,crime
1,4,-1.0,-1.0,"[1.0, 0.23, -0.02, -0.8, 1.0]",medexp,"[[-0.88, -0.75, -0.95, -0.79, -0.75], [-0.62, -0.78, -0.82, -0.71, -0.69], [-0.86, -0.76, -0.98, -0.78, -0.77], [0.28, -0.16, -0.05, -0.11, -0.04], [-0.84, -0.75, -0.85, -0.84, -0.81]]","[[1.0, 1.0, 0.16, 0.0, -0.46], [1.0, 1.0, 0.01, 0.0, -0.21], [1.0, 1.0, 0.35, -0.33, -0.37], [1.0, -1.0, -0.05, -0.33, -0.37], [1.0, -1.0, -1.0, -0.33, -0.25]]","[[0.5, 0.0, 0.5, -0.37, -0.55], [-1.0, -1.0, -1.0, -0.72, -0.58], [-1.0, -1.0, -1.0, -0.88, -0.55], [-0.5, -0.5, -0.5, -0.91, -0.92], [0.5, 0.5, 0.5, -0.67, -0.49]]","[[-0.52, 1.0, -0.73, 0.28, 0.21], [0.21, -0.46, -0.48, -0.78, -0.79], [-0.76, 0.42, 0.33, -0.21, -0.14], [1.0, 0.71, -0.66, 0.28, 0.29], [-0.18, 0.2, -0.77, -0.66, -0.72]]","[-0.46, -0.59, -0.6, -0.47, -0.72]","[-0.47, -0.29, 0.03, 0.31, -0.06]","[-0.11, -0.05, 1.0, -0.06, -0.33]","[-0.59, -0.57, -0.62, -0.29, -0.61]",hitter,rent,mammal,crime
