x,y,y_pred,machine,trial,subject
1,-42.745834837268646,1.0,1,1,1
5,-50.03609646907245,5.0,1,2,1
10,-59.1489235088272,10.5,1,3,1
15,-68.26175054858196,16.5,1,4,1
20,-77.3745775883367,23.0,1,5,1
25,-86.48740462809145,30.0,1,6,1
30,-95.6002316678462,38.0,1,7,1
35,-104.71305870760095,46.5,1,8,1
40,-113.8258857473557,55.5,1,9,1
45,-122.93871278711046,66.0,1,10,1
50,-132.0515398268652,77.5,1,11,1
55,-141.16436686661996,90.0,1,12,1
60,-150.2771939063747,103.5,1,13,1
65,-159.39002094612945,118.5,1,14,1
70,-168.5028479858842,135.0,1,15,1
75,-177.61567502563895,153.0,1,16,1
80,-186.7285020653937,172.5,1,17,1
85,-195.84132910514845,193.5,1,18,1
90,-204.9541561449032,216.0,1,19,1
95,-214.06698318465794,240.0,1,20,1
100,-223.1798102244127,265.5,1,21,1
1,-7.975667734683743,-14.0,2,1,1
5,-11.897813292739707,-26.0,2,2,1
10,-16.800495240309665,-47.0,2,3,1
15,-21.703177187879625,-74.0,2,4,1
20,-26.60585913544958,-102.0,2,5,1
25,-31.508541083019537,-129.0,2,6,1
30,-36.4112230305895,-158.0,2,7,1
35,-41.31390497815945,-188.0,2,8,1
40,-46.21658692572941,-218.0,2,9,1
45,-51.11926887329936,-247.0,2,10,1
50,-56.02195082086932,-276.0,2,11,1
55,-60.92463276843928,-304.0,2,12,1
60,-65.82731471600924,-331.0,2,13,1
65,-70.7299966635792,-357.0,2,14,1
70,-75.63267861114915,-382.0,2,15,1
75,-80.5353605587191,-407.0,2,16,1
80,-85.43804250628907,-432.0,2,17,1
85,-90.34072445385902,-452.0,2,18,1
90,-95.24340640142897,-470.0,2,19,1
95,-100.14608834899893,-487.0,2,20,1
100,-105.04877029656889,-502.0,2,21,1
1,-54.77678929894549,14.8,3,1,1
5,-61.2975801780462,29.1,3,2,1
10,-69.4485687769221,50.8,3,3,1
15,-77.599557375798,90.5,3,4,1
20,-85.75054597467388,153.8,3,5,1
25,-93.90153457354978,263.0,3,6,1
30,-102.05252317242568,428.8,3,7,1
35,-110.20351177130158,693.0,3,8,1
40,-118.35450037017748,1088.8,3,9,1
