x,y,y_pred,machine,trial,subject
1,-13.021489123524196,15.0,1,1,1
5,-22.99407264482096,24.8,1,2,1
10,-35.45980204644192,40.6,1,3,1
15,-47.925531448062884,53.2,1,4,1
20,-60.391260849683846,68.8,1,5,1
25,-72.8569902513048,81.6,1,6,1
30,-85.32271965292576,98.0,1,7,1
35,-97.78844905454672,109.4,1,8,1
40,-110.25417845616768,130.8,1,9,1
45,-122.71990785778864,139.0,1,10,1
50,-135.1856372594096,160.0,1,11,1
55,-147.65136666103055,163.0,1,12,1
60,-160.1170960626515,182.2,1,13,1
65,-172.58282546427247,191.8,1,14,1
70,-185.04855486589344,207.6,1,15,1
75,-197.5142842675144,218.0,1,16,1
80,-209.98001366913536,235.8,1,17,1
85,-222.44574307075632,247.0,1,18,1
90,-234.91147247237728,263.4,1,19,1
95,-247.37720187399825,274.6,1,20,1
100,-259.8429312756192,291.0,1,21,1
1,-13.06170168750423,-0.85,2,1,1
5,-26.777059961179333,-5.27,2,2,1
10,-43.92125780327321,-14.6,2,3,1
15,-61.06545564536709,-30.92,2,4,1
20,-78.20965348746095,-52.1,2,5,1
25,-95.35385132955484,-77.1,2,6,1
30,-112.49804917164872,-105.85,2,7,1
35,-129.64224701374258,-138.33,2,8,1
40,-146.78644485583644,-173.5,2,9,1
45,-163.93064269793032,-211.33,2,10,1
50,-181.0748405400242,-251.81,2,11,1
55,-198.21903838211807,-294.9,2,12,1
60,-215.36323622421196,-340.61,2,13,1
65,-232.50743406630582,-388.92,2,14,1
70,-249.6516319083997,-439.81,2,15,1
75,-266.7958297504936,-492.25,2,16,1
80,-283.94002759258746,-547.24,2,17,1
85,-301.08422543468134,-604.77,2,18,1
90,-318.22842327677523,-663.8,2,19,1
95,-335.3726211188691,-724.33,2,20,1
100,-352.516818960963,-786.34,2,21,1
1,-13.041283596240152,-2.8,3,1,1
5,-21.822008957697772,-29.5,3,2,1
10,-32.7979156595198,-66.6,3,3,1
15,-43.77382236134183,-103.7,3,4,1
20,-54.749729063163855,-140.9,3,5,1
25,-65.72563576498588,-178.0,3,6,1
30,-76.70154246680791,-215.1,3,7,1
35,-87.67744916862993,-252.1,3,8,1
40,-98.65335587045196,-289.2,3,9,1
45,-109.62926257227399,-326.3,3,10,1
50,-120.60516927409601,-363.4,3,11,1
55,-131.58107597591805,-400.5,3,12,1
60,-142.55698267774008,437.5,3,13,1
65,-153.5328893795621,474.6,3,14,1
70,-164.50879608138413,511.7,3,15,1
75,-175.48470278320616,548.7,3,16,1
80,-186.4606094850282,585.9,3,17,1
85,-197.4365161868502,623.0,3,18,1
90,-208.41242288867224,660.1,3,19,1
95,-219.38832959049427,697.2,3,20,1
100,-230.3642362923163,734.3,3,21,1
1,-11.38766706912257,-4.4,4,1,1
5,-15.621631223921021,-10.1,4,2,1
10,-20.914086417419085,-17.5,4,3,1
15,-26.20654161091715,-27.8,4,4,1
20,-31.498996804415214,-41.0,4,5,1
25,-36.79145199791328,-53.9,4,6,1
30,-42.08390719141135,-75.8,4,7,1
35,-47.376362384909406,-89.7,4,8,1
40,-52.66881757840747,-107.5,4,9,1
45,-57.96127277190554,-116.4,4,10,1
50,-63.253727965403606,-125.3,4,11,1
55,-68.54618315890168,-133.8,4,12,1
60,-73.83863835239974,-143.1,4,13,1
65,-79.1310935458978,-152.3,4,14,1
70,-84.42354873939586,-161.5,4,15,1
75,-89.71600393289394,-170.8,4,16,1
80,-95.008459126392,-180.2,4,17,1
85,-100.30091431989005,-189.7,4,18,1
90,-105.59336951338814,-199.4,4,19,1
95,-110.8858247068862,-209.0,4,20,1
100,-116.17827990038425,-219.6,4,21,1
1,-11.419741967609228,-6.2,5,1,1
5,-17.169769409891945,-18.4,5,2,1
10,-24.35730371274534,-37.2,5,3,1
15,-31.54483801559873,-53.4,5,4,1
20,-38.73237231845212,-74.2,5,5,1
25,-45.919906621305515,-95.1,5,6,1
30,-53.10744092415891,-117.0,5,7,1
35,-60.2949752270123,-137.5,5,8,1
40,-67.4825095298657,-156.9,5,9,1
45,-74.67004383271909,-178.4,5,10,1
50,-81.85757813557248,-196.9,5,11,1
55,-89.04511243842587,-216.3,5,12,1
60,-96.23264674127927,-241.2,5,13,1
65,-103.42018104413266,-256.9,5,14,1
70,-110.60771534698605,-272.5,5,15,1
75,-117.79524964983945,-284.1,5,16,1
80,-124.98278395269284,-293.2,5,17,1
85,-132.17031825554625,-302.5,5,18,1
90,-139.35785255839966,-310.3,5,19,1
95,-146.545386861253,-316.5,5,20,1
100,-153.73292116410641,-321.3,5,21,1
1,-14.326277019778576,10.0,1,1,2
5,-24.754209245136497,21.5,1,2,2
10,-37.789124526833895,35.0,1,3,2
15,-50.82403980853129,50.5,1,4,2
20,-63.85895509022869,68.0,1,5,2
25,-76.8938703719261,86.5,1,6,2
30,-89.92878565362349,106.0,1,7,2
35,-102.96370093532089,126.5,1,8,2
40,-115.9986162170183,148.0,1,9,2
