x,y,y_pred,machine,trial,subject
1,-58.47534001723553,3.0,1,1,1
5,-66.0054023150596,10.0,1,2,1
10,-75.41798018733967,26.0,1,3,1
15,-84.83055805961975,42.0,1,4,1
20,-94.24313593189981,62.0,1,5,1
25,-103.6557138041799,88.0,1,6,1
30,-113.06829167645998,120.0,1,7,1
35,-122.48086954874005,156.0,1,8,1
40,-131.8934474210201,204.0,1,9,1
45,-141.3060252933002,255.0,1,10,1
50,-150.71860316558028,316.0,1,11,1
55,-160.13118103786033,385.0,1,12,1
60,-169.54375891014044,462.0,1,13,1
65,-178.9563367824205,545.0,1,14,1
70,-188.36891465470057,638.0,1,15,1
75,-197.78149252698066,737.0,1,16,1
80,-207.19407039926074,846.0,1,17,1
85,-216.6066482715408,963.0,1,18,1
90,-226.01922614382087,1090.0,1,19,1
95,-235.43180401610095,1227.0,1,20,1
100,-244.84438188838104,1376.0,1,21,1
1,-15.722779549030555,1.0,2,1,1
5,-27.047068017532684,5.0,2,2,1
10,-41.20242860316035,10.0,2,3,1
15,-55.35778918878802,15.0,2,4,1
20,-69.51314977441567,20.0,2,5,1
25,-83.66851036004333,25.0,2,6,1
30,-97.823870945671,30.0,2,7,1
35,-111.97923153129867,35.0,2,8,1
40,-126.13459211692633,40.0,2,9,1
45,-140.289952702554,45.0,2,10,1
50,-154.44531328818164,50.0,2,11,1
55,-168.6006738738093,55.0,2,12,1
60,-182.756034459437,60.0,2,13,1
65,-196.91139504506464,65.0,2,14,1
70,-211.0667556306923,70.0,2,15,1
75,-225.22211621631996,75.0,2,16,1
80,-239.37747680194764,80.0,2,17,1
85,-253.53283738757528,85.0,2,18,1
90,-267.68819797320293,90.0,2,19,1
95,-281.84355855883064,95.0,2,20,1
100,-295.9989191444582,100.0,2,21,1
1,-12.087199966578542,-11.7,3,1,1
5,-19.999146432314163,-35.8,3,2,1
10,-29.88907951448369,-42.7,3,3,1
15,-39.77901259665321,-57.8,3,4,1
20,-49.668945678822745,-72.6,3,5,1
25,-59.558878760992265,-85.3,3,6,1
30,-69.44881184316179,-99.6,3,7,1
35,-79.33874492533131,-114.1,3,8,1
