x,y,y_pred,machine,trial,subject
1,-20.486400045203734,0.0,1,1,1
5,-25.1081594134229,25.5,1,2,1
10,-30.885358623696856,50.5,1,3,1
15,-36.66255783397081,65.5,1,4,1
20,-42.43975704424477,80.0,1,5,1
25,-48.21695625451872,85.5,1,6,1
30,-53.994155464792684,91.5,1,7,1
35,-59.77135467506665,86.0,1,8,1
40,-65.5485538853406,88.5,1,9,1
45,-71.32575309561456,85.0,1,10,1
50,-77.10295230588851,70.0,1,11,1
55,-82.88015151616247,0.0,1,12,1
60,-88.65735072643643,-32.5,1,13,1
65,-94.43454993671038,-68.5,1,14,1
70,-100.21174914698435,-77.0,1,15,1
75,-105.9889483572583,-77.5,1,16,1
80,-111.76614756753226,-62.0,1,17,1
85,-117.54334677780622,0.0,1,18,1
90,-123.32054598808017,22.0,1,19,1
95,-129.09774519835415,38.5,1,20,1
100,-134.8749444086281,50.5,1,21,1
1,-19.865338738509113,-21.5,2,1,1
5,-25.192113610473903,-19.7,2,2,1
10,-31.85058220042989,-18.0,2,3,1
15,-38.509050790385885,-16.3,2,4,1
20,-45.16751938034187,-14.7,2,5,1
25,-51.82598797029786,-13.3,2,6,1
30,-58.484456560253854,-12.0,2,7,1
35,-65.14292515020985,-10.9,2,8,1
40,-71.80139374016584,-10.0,2,9,1
45,-78.45986233012184,-9.3,2,10,1
50,-85.11833092007781,-8.7,2,11,1
55,-91.77679951003381,-8.3,2,12,1
60,-98.4352680999898,-8.0,2,13,1
65,-105.09373668994579,-7.8,2,14,1
70,-111.75220527990177,-7.7,2,15,1
75,-118.41067386985776,-7.7,2,16,1
80,-125.06914245981375,-7.8,2,17,1
85,-131.72761104976973,-8.0,2,18,1
90,-138.38607963972575,-8.3,2,19,1
95,-145.04454822968174,-8.7,2,20,1
100,-151.7030168196377,-9.3,2,21,1
1,-23.63940949075029,-8.0,3,1,1
5,-36.777913455810506,-12.0,3,2,1
10,-53.20104341213579,-18.0,3,3,1
15,-69.62417336846107,-24.5,3,4,1
20,-86.04730332478636,-30.0,3,5,1
25,-102.47043328111164,-35.0,3,6,1
30,-118.8935632374369,-40.0,3,7,1
35,-135.31669319376218,-45.0,3,8,1
40,-151.73982315008746,-50.0,3,9,1
45,-168.16295310641274,-55.0,3,10,1
50,-184.58608306273803,-60.0,3,11,1
55,-201.0092130190633,-65.0,3,12,1
60,-217.43234297538856,-70.0,3,13,1
65,-233.85547293171385,-75.0,3,14,1
70,-250.27860288803913,-80.0,3,15,1
75,-266.7017328443644,-85.0,3,16,1
80,-283.1248628006897,-90.0,3,17,1
85,-299.547992757015,-95.0,3,18,1
90,-315.97112271334026,-99.0,3,19,1
95,-332.39425266966555,-103.5,3,20,1
100,-348.81738262599083,-107.5,3,21,1
1,-22.91206005957623,10.0,4,1,1
5,-36.883279825108396,20.0,4,2,1
10,-54.34730453202361,33.7,4,3,1
15,-71.8113292389388,50.1,4,4,1
20,-89.27535394585401,68.1,4,5,1
25,-106.7393786527692,86.8,4,6,1
30,-124.20340335968442,106.0,4,7,1
35,-141.66742806659963,125.7,4,8,1
40,-159.13145277351484,145.8,4,9,1
45,-176.59547748043005,166.2,4,10,1
50,-194.05950218734523,186.9,4,11,1
55,-211.52352689426044,207.8,4,12,1
60,-228.98755160117565,229.0,4,13,1
65,-246.45157630809086,250.4,4,14,1
70,-263.91560101500613,271.9,4,15,1
75,-281.37962572192134,293.5,4,16,1
80,-298.84365042883655,315.2,4,17,1
85,-316.30767513575177,336.9,4,18,1
90,-333.771699842667,358.7,4,19,1
95,-351.2357245495822,380.4,4,20,1
100,-368.69974925649734,402.1,4,21,1
1,-22.084362501857612,-12.8,5,1,1
5,-31.38782151344742,-64.2,5,2,1
10,-43.01714527793469,-149.0,5,3,1
15,-54.64646904242195,-304.6,5,4,1
20,-66.27579280690921,-579.0,5,5,1
25,-77.90511657139648,-1049.4,5,6,1
30,-89.53444033588373,-1657.8,5,7,1
35,-101.16376410037101,-2527.0,5,8,1
40,-112.79308786485826,-3670.8,5,9,1
45,-124.42241162934552,-5105.6,5,10,1
50,-136.0517353938328,-6846.2,5,11,1
55,-147.68105915832004,-8905.0,5,12,1
60,-159.3103829228073,-11300.2,5,13,1
65,-170.93970668729455,-14052.2,5,14,1
70,-182.56903045178183,-17182.2,5,15,1
75,-194.19835421626908,-20701.8,5,16,1
80,-205.82767798075633,-24623.2,5,17,1
85,-217.45700174524362,-28950.8,5,18,1
90,-229.08632550973087,-33788.2,5,19,1
95,-240.71564927421812,-39150.0,5,20,1
100,-252.3449730387054,-45049.4,5,21,1
1,-23.63708863328935,0.0,1,1,2
5,-25.059535411959725,1.0,1,2,2
10,-26.837593885297693,50.0,1,3,2
15,-28.615652358635664,25.0,1,4,2
20,-30.393710831973635,100.0,1,5,2
25,-32.17176930531161,17.0,1,6,2
30,-33.94982777864958,65.75,1,7,2
35,-35.72788625198754,100.0,1,8,2
40,-37.50594472532551,32.0,1,9,2
45,-39.284003198663484,100.0,1,10,2
50,-41.062061672001455,43.5,1,11,2
55,-42.84012014533943,100.0,1,12,2
60,-44.61817861867739,0.0,1,13,2
65,-46.39623709201537,0.0,1,14,2
70,-48.17429556535333,0.0,1,15,2
75,-49.952354038691304,0.0,1,16,2
80,-51.730412512029275,0.0,1,17,2
85,-53.508470985367246,0.0,1,18,2
90,-55.28652945870522,0.0,1,19,2
95,-57.06458793204318,0.0,1,20,2
100,-58.84264640538116,0.0,1,21,2
1,-22.938298546099446,-1.0,2,1,2
5,-33.14951290325499,-1.1,2,2,2
10,-45.913530849699406,-11.4,2,3,2
15,-58.67754879614383,-14.7,2,4,2
20,-71.44156674258825,-19.8,2,5,2
25,-84.20558468903266,-21.0,2,6,2
30,-96.96960263547709,-29.4,2,7,2
35,-109.73362058192151,-33.5,2,8,2
40,-122.49763852836594,-38.2,2,9,2
45,-135.26165647481034,-43.6,2,10,2
50,-148.02567442125476,-49.7,2,11,2
55,-160.7896923676992,-52.9,2,12,2
60,-173.55371031414361,-58.8,2,13,2
65,-186.31772826058804,-65.2,2,14,2
70,-199.08174620703247,-72.1,2,15,2
