x,y,y_pred,machine,trial,subject
1,-101.09402457158355,12.0,1,1,1
5,-106.02114378978641,54.0,1,2,1
10,-112.18004281254,100.0,1,3,1
15,-118.33894183529357,170.0,1,4,1
20,-124.49784085804716,254.0,1,5,1
25,-130.65673988080076,352.0,1,6,1
30,-136.81563890355432,464.0,1,7,1
35,-142.9745379263079,590.0,1,8,1
40,-149.13343694906146,740.0,1,9,1
45,-155.29233597181505,915.0,1,10,1
50,-161.45123499456864,1102.0,1,11,1
55,-167.61013401732222,1311.5,1,12,1
60,-173.7690330400758,1533.0,1,13,1
65,-179.92793206282937,1766.5,1,14,1
70,-186.08683108558296,2019.0,1,15,1
75,-192.24573010833652,2292.5,1,16,1
80,-198.4046291310901,2586.0,1,17,1
85,-204.5635281538437,2900.5,1,18,1
90,-210.72242717659728,3236.0,1,19,1
95,-216.88132619935087,3592.5,1,20,1
100,-223.04022522210443,3970.0,1,21,1
1,-101.50924492018295,-8.7,2,1,1
5,-110.8647598769857,-35.0,2,2,1
10,-122.55915357298915,-86.8,2,3,1
15,-134.2535472689926,-154.2,2,4,1
20,-145.94794096499606,-247.3,2,5,1
25,-157.6423346609995,-365.9,2,6,1
30,-169.33672835700295,-511.0,2,7,1
35,-181.0311220530064,-678.6,2,8,1
40,-192.72551574900984,-867.7,2,9,1
45,-204.41990944501327,-1078.2,2,10,1
50,-216.11430314101673,-1299.0,2,11,1
55,-227.8086968370202,-1528.8,2,12,1
60,-239.50309053302362,-1766.5,2,13,1
65,-251.19748422902705,-2014.0,2,14,1
70,-262.89187792503054,-2269.1,2,15,1
75,-274.586271621034,-2530.8,2,16,1
80,-286.2806653170374,-2798.0,2,17,1
85,-297.9750590130409,-3069.4,2,18,1
90,-309.6694527090443,-3344.6,2,19,1
95,-321.36384640504775,-3623.3,2,20,1
100,-333.0582401010512,-3905.4,2,21,1
1,-101.06024654936182,-90.7,3,1,1
5,-109.72104490995069,-131.1,3,2,1
10,-120.54704286068679,-172.5,3,3,1
15,-131.37304081142287,-214.0,3,4,1
20,-142.19903876215898,-255.4,3,5,1
25,-153.0250367128951,-294.5,3,6,1
30,-163.85103466363117,-333.6,3,7,1
35,-174.67703261436725,-372.8,3,8,1
40,-185.50303056510336,-411.7,3,9,1
45,-196.32902851583947,-450.6,3,10,1
50,-207.15502646657555,-489.7,3,11,1
55,-217.98102441731163,-528.6,3,12,1
60,-228.80702236804774,-567.4,3,13,1
65,-239.63302031878382,-606.7,3,14,1
70,-250.45901826951993,-644.8,3,15,1
75,-261.285016220256,-682.9,3,16,1
80,-272.1110141709921,-720.3,3,17,1
85,-282.9370121217282,-757.8,3,18,1
90,-293.7630100724643,-795.5,3,19,1
95,-304.5890080232004,-833.4,3,20,1
100,-315.4150059739365,-871.1,3,21,1
1,-99.31364715308344,-84.8,4,1,1
5,-105.603267943783,-92.8,4,2,1
10,-113.46529393215744,-89.0,4,3,1
15,-121.32731992053188,-102.8,4,4,1
20,-129.1893459089063,-108.2,4,5,1
25,-137.05137189728072,-106.4,4,6,1
30,-144.91339788565517,-109.2,4,7,1
35,-152.7754238740296,-125.2,4,8,1
40,-160.63744986240405,-183.0,4,9,1
45,-168.49947585077848,-159.6,4,10,1
50,-176.36150183915294,-144.6,4,11,1
55,-184.22352782752736,-133.2,4,12,1
60,-192.0855538159018,-126.0,4,13,1
65,-199.94757980427624,-118.8,4,14,1
70,-207.80960579265067,-114.6,4,15,1
75,-215.6716317810251,-110.2,4,16,1
80,-223.53365776939955,-104.2,4,17,1
85,-231.395683757774,-97.8,4,18,1
90,-239.2577097461484,-91.2,4,19,1
95,-247.11973573452286,-84.8,4,20,1
100,-254.98176172289732,-78.4,4,21,1
1,-99.79325590723857,-50.0,5,1,1
5,-106.01302677009701,-52.3,5,2,1
10,-113.78774034867008,-100.9,5,3,1
15,-121.56245392724314,-154.8,5,4,1
20,-129.33716750581618,-211.1,5,5,1
25,-137.11188108438924,-267.7,5,6,1
30,-144.88659466296232,-323.0,5,7,1
