x,y,y_pred,machine,trial,subject
1,-11.238998243337418,5.0,1,1,1
5,-50.73808298277762,70.0,1,2,1
10,-100.11193890707786,125.0,1,3,1
15,-149.48579483137812,185.0,1,4,1
20,-198.85965075567836,245.0,1,5,1
25,-248.23350667997857,265.0,1,6,1
30,-297.6073626042788,285.0,1,7,1
35,-346.98121852857906,305.0,1,8,1
40,-396.3550744528793,325.0,1,9,1
45,-445.7289303771795,345.0,1,10,1
50,-495.10278630147974,365.0,1,11,1
55,-544.47664222578,385.0,1,12,1
60,-593.8504981500803,405.0,1,13,1
65,-643.2243540743805,425.0,1,14,1
70,-692.5982099986808,445.0,1,15,1
75,-741.972065922981,460.0,1,16,1
80,-791.3459218472813,475.0,1,17,1
85,-840.7197777715814,490.0,1,18,1
90,-890.0936336958816,505.0,1,19,1
95,-939.4674896201819,520.0,1,20,1
100,-988.8413455444821,535.0,1,21,1
1,-0.22412712294454462,-12.0,2,1,1
5,-40.61415825413934,-36.6,2,2,1
10,-91.10169716813284,-73.0,2,3,1
15,-141.58923608212635,-109.3,2,4,1
20,-192.07677499611984,-145.6,2,5,1
25,-242.56431391011333,-182.0,2,6,1
30,-293.05185282410685,-218.3,2,7,1
35,-343.53939173810033,-254.6,2,8,1
40,-394.0269306520938,-291.0,2,9,1
45,-444.5144695660873,-327.3,2,10,1
50,-495.0020084800808,-363.6,2,11,1
55,-545.4895473940744,-400.0,2,12,1
60,-595.9770863080679,-436.3,2,13,1
65,-646.4646252220614,-472.6,2,14,1
70,-696.9521641360549,-509.0,2,15,1
75,-747.4397030500484,-545.3,2,16,1
80,-797.9272419640419,-581.6,2,17,1
85,-848.4147808780353,-618.0,2,18,1
90,-898.9023197920288,-654.3,2,19,1
95,-949.3898587060223,-690.6,2,20,1
100,-999.8773976200158,-727.0,2,21,1
1,-18.678372601578015,-7.2,3,1,1
5,-57.70701287031754,-33.8,3,2,1
10,-106.49281320624195,-74.4,3,3,1
15,-155.2786135421663,-131.9,3,4,1
20,-204.06441387809073,-197.4,3,5,1
25,-252.85021421401515,-271.0,3,6,1
30,-301.63601454993955,-352.4,3,7,1
35,-350.42181488586397,-441.7,3,8,1
40,-399.2076152217884,-538.9,3,9,1
45,-447.99341555771275,-644.0,3,10,1
50,-496.7792158936372,-756.0,3,11,1
55,-545.5650162295616,-874.9,3,12,1
60,-594.350816565486,-1000.6,3,13,1
65,-643.1366169014103,-1133.2,3,14,1
70,-691.9224172373348,-1272.7,3,15,1
75,-740.7082175732592,-1418.0,3,16,1
80,-789.4940179091836,-1569.2,3,17,1
85,-838.279818245108,-1725.3,3,18,1
90,-887.0656185810324,-1886.0,3,19,1
95,-935.8514189169568,-2050.3,3,20,1
100,-984.6372192528812,-2218.4,3,21,1
1,-10.562729283461165,-8.5,4,1,1
5,-52.034702350076024,-47.1,4,2,1
10,-103.8746686833446,-97.4,4,3,1
15,-155.71463501661316,-142.8,4,4,1
20,-207.55460134988172,-189.4,4,5,1
25,-259.3945676831503,-239.0,4,6,1
30,-311.2345340164189,-289.5,4,7,1
35,-363.07450034968747,-340.4,4,8,1
40,-414.914466682956,-391.3,4,9,1
45,-466.7544330162246,-443.5,4,10,1
50,-518.5943993494931,-495.9,4,11,1
55,-570.4343656827617,-548.4,4,12,1
60,-622.2743320160303,-601.0,4,13,1
65,-674.1142983492988,-655.0,4,14,1
70,-725.9542646825674,-709.2,4,15,1
75,-777.794231015836,-764.6,4,16,1
80,-829.6341973491045,-821.2,4,17,1
85,-881.4741636823732,-879.3,4,18,1
90,-933.3141300156417,-938.8,4,19,1
95,-985.1540963489102,-999.8,4,20,1
100,-1036.9940626821788,-1062.4,4,21,1
1,-17.488834990876946,50.0,5,1,1
5,-57.60854880977756,-20.4,5,2,1
10,-107.75819108340333,-81.7,5,3,1
15,-157.90783335702912,150.8,5,4,1
20,-208.0574756306549,242.0,5,5,1
25,-258.2071179042807,330.1,5,6,1
30,-308.35676017790644,423.2,5,7,1
35,-358.5064024515322,520.9,5,8,1
40,-408.656044725158,623.5,5,9,1
45,-458.8056869987838,730.9,5,10,1
50,-508.9553292724096,843.3,5,11,1
55,-559.1049715460354,960.9,5,12,1
60,-609.2546138196611,1083.0,5,13,1
65,-659.4042560932869,1209.9,5,14,1
70,-709.5538983669127,1341.8,5,15,1
75,-759.7035406405384,1478.9,5,16,1
80,-809.8531829141642,1621.3,5,17,1
