x,y,machine,trial,y_pred,subject
99,-38.5,1,1,100.0,1
35,18.1,1,2,10.5,1
39,17.6,1,3,19.1,1
89,-15.3,1,4,3.5,1
48,15.9,1,5,19.2,1
41,25.1,2,1,16.5,1
46,26.5,2,2,24.6,1
89,74.3,2,3,12.3,1
13,21.4,2,4,12.1,1
89,74.3,2,5,74.3,1
40,25.8,3,1,24.5,1
46,28.0,3,2,26.5,1
86,82.8,3,3,74.3,1
28,22.9,3,4,35.4,1
6,20.6,3,5,11.2,1
7,21.5,4,1,19.9,1
48,36.6,4,2,26.5,1
19,23.3,4,3,23.2,1
15,22.6,4,4,22.1,1
2,21.0,4,5,21.1,1
31,23.7,5,1,25.2,1
87,65.0,5,2,82.8,1
95,86.6,5,3,63.5,1
87,65.0,5,4,65.0,1
24,22.9,5,5,23.1,1
9,21.0,1,1,1.0,2
3,20.6,1,2,10.0,2
57,37.9,1,3,20.5,2
54,35.3,1,4,37.5,2
61,42.0,1,5,38.5,2
66,61.1,2,1,42.0,2
8,24.3,2,2,10.6,2
7,24.2,2,3,23.6,2
75,83.2,2,4,49.9,2
12,24.8,2,5,32.1,2
69,39.2,3,1,61.1,2
81,54.2,3,2,42.1,2
79,51.0,3,3,53.2,2
20,22.6,3,4,29.0,2
12,22.1,3,5,24.8,2
21,22.9,4,1,21.0,2
14,22.4,4,2,22.5,2
4,21.8,4,3,20.7,2
16,22.5,4,4,22.6,2
85,68.7,4,5,39.2,2
91,107.7,5,1,59.2,2
44,28.2,5,2,55.2,2
62,40.5,5,3,38.2,2
93,117.0,5,4,108.2,2
43,27.8,5,5,27.9,2
27,26.6,1,1,10.0,3
35,29.5,1,2,34.5,3
48,37.2,1,3,35.5,3
41,32.4,1,4,34.5,3
84,119.4,1,5,56.8,3
29,27.5,2,1,28.5,3
82,121.1,2,2,119.5,3
10,23.2,2,3,10.5,3
35,30.0,2,4,29.5,3
11,23.3,2,5,23.4,3
80,104.6,3,1,119.0,3
44,35.7,3,2,35.2,3
99,235.5,3,3,123.5,3
53,43.5,3,4,39.2,3
53,43.5,3,5,43.5,3
98,89.7,4,1,234.5,3
44,24.9,4,2,35.7,3
5,20.9,4,3,1.2,3
50,26.6,4,4,35.0,3
76,43.4,4,5,100.4,3
20,21.9,5,1,21.2,3
20,21.9,5,2,21.9,3
95,153.7,5,3,100.5,3
48,31.6,5,4,37.2,3
49,32.2,5,5,32.4,3
86,49.6,1,1,100.0,4
25,19.0,1,2,12.5,4
11,18.2,1,3,10.0,4
47,22.1,1,4,19.0,4
25,19.0,1,5,19.0,4
37,29.2,2,1,21.0,4
38,29.6,2,2,29.8,4
21,24.9,2,3,19.0,4
26,25.9,2,4,25.4,4
17,24.3,2,5,24.2,4
76,56.9,3,1,49.6,4
0,18.8,3,2,0.0,4
98,135.0,3,3,65.1,4
54,30.9,3,4,100.0,4
52,29.7,3,5,30.4,4
75,28.1,4,1,56.5,4
96,43.7,4,2,125.0,4
48,21.9,4,3,22.1,4
29,20.6,4,4,15.9,4
45,21.6,4,5,21.4,4
95,149.2,5,1,100.0,4
61,42.9,5,2,100.0,4
49,32.2,5,3,29.9,4
52,34.3,5,4,30.7,4
44,29.3,5,5,29.9,4
68,55.5,1,1,100.0,5
73,65.9,1,2,60.5,5
65,50.5,1,3,55.5,5
40,28.1,1,4,20.0,5
26,23.6,1,5,15.6,5
75,85.7,2,1,65.5,5
9,21.9,2,2,1.1,5
60,50.7,2,3,65.5,5
52,40.4,2,4,45.5,5
24,24.6,2,5,19.2,5
49,25.0,3,1,49.5,5
8,21.0,3,2,10.9,5
6,20.9,3,3,20.0,5
0,20.8,3,4,20.0,5
47,24.5,3,5,25.1,5
24,21.0,4,1,24.6,5
63,26.7,4,2,40.0,5
52,23.9,4,3,24.5,5
37,21.9,4,4,22.5,5
85,40.0,4,5,25.5,5
33,23.7,5,1,20.0,5
53,31.4,5,2,25.9,5
9,20.6,5,3,21.9,5
46,27.8,5,4,24.5,5
68,44.8,5,5,35.5,5
47,27.1,1,1,100.0,6
96,108.9,1,2,47.1,6
71,45.0,1,3,108.9,6
75,50.7,1,4,50.0,6
36,23.8,1,5,21.0,6
41,23.5,2,1,25.0,6
14,20.3,2,2,10.0,6
32,22.0,2,3,19.1,6
72,39.3,2,4,48.0,6
55,27.8,2,5,34.5,6
38,27.0,3,1,22.5,6
27,24.2,3,2,21.0,6
94,128.8,3,3,50.0,6
15,22.5,3,4,20.3,6
93,123.5,3,5,127.5,6
84,113.8,4,1,100.0,6
29,26.1,4,2,25.5,6
27,25.5,4,3,24.2,6
85,118.6,4,4,114.5,6
87,129.0,4,5,121.2,6
42,28.0,5,1,25.5,6
43,28.3,5,2,28.5,6
47,30.0,5,3,29.0,6
61,39.6,5,4,38.0,6
10,22.1,5,5,12.0,6
71,43.7,1,1,10.0,7
84,65.9,1,2,51.2,7
90,82.1,1,3,79.1,7
38,24.1,1,4,29.2,7
85,68.3,1,5,66.9,7
3,20.7,2,1,1.1,7
46,25.0,2,2,35.9,7
34,22.8,2,3,21.1,7
88,59.4,2,4,69.9,7
93,70.6,2,5,71.1,7
56,44.3,3,1,38.2,7
60,49.8,3,2,46.9,7
70,69.4,3,3,57.2,7
36,28.7,3,4,27.1,7
71,71.9,3,5,60.0,7
41,20.7,4,1,29.9,7
1,20.8,4,2,1.0,7
81,19.6,4,3,59.4,7
27,20.8,4,4,20.9,7
91,18.9,4,5,20.8,7
99,174.9,5,1,100.0,7
1,21.9,5,2,175.0,7
28,25.2,5,3,21.9,7
43,30.1,5,4,25.2,7
5,22.2,5,5,21.9,7
84,117.9,1,1,100.0,8
43,32.2,1,2,117.9,8
83,113.1,1,3,116.9,8
39,29.9,1,4,28.1,8
90,152.3,1,5,125.1,8
21,21.6,2,1,10.1,8
49,30.4,2,2,49.2,8
56,35.2,2,3,34.2,8
45,28.3,2,4,29.9,8
59,37.9,2,5,36.9,8
71,45.1,3,1,102.3,8
13,21.1,3,2,13.2,8
22,21.8,3,3,22.2,8
65,38.5,3,4,42.2,8
77,54.0,3,5,47.9,8
44,35.4,4,1,29.9,8
57,50.4,4,2,39.2,8
81,123.1,4,3,100.0,8
96,239.4,4,4,165.3,8
16,23.1,4,5,16.2,8
4,23.3,5,1,1.2,8
80,106.4,5,2,123.1,8
20,25.6,5,3,21.2,8
40,32.9,5,4,35.4,8
2,23.1,5,5,22.1,8
25,26.3,1,1,100.0,9
74,78.9,1,2,75.5,9
85,121.1,1,3,90.1,9
96,194.2,1,4,144.2,9
40,31.8,1,5,100.1,9
1,20.1,2,1,1.1,9
89,37.2,2,2,100.1,9
76,28.9,2,3,10.1,9
58,23.5,2,4,19.1,9
74,28.0,2,5,29.1,9
20,23.3,3,1,19.1,9
60,40.6,3,2,25.9,9
77,67.4,3,3,51.2,9
13,22.5,3,4,15.2,9
15,22.7,3,5,24.1,9
59,29.0,4,1,23.1,9
63,30.8,4,2,30.1,9
5,21.3,4,3,19.2,9
96,73.1,4,4,194.2,9
15,21.6,4,5,22.7,9
30,23.9,5,1,25.2,9
5,20.9,5,2,21.1,9
19,22.1,5,3,22.5,9
93,117.8,5,4,69.2,9
42,27.3,5,5,31.2,9
74,81.5,1,1,10.0,10
11,22.7,1,2,12.5,10
2,21.8,1,3,1.5,10
10,22.6,1,4,21.8,10
67,63.3,1,5,81.4,10
17,21.4,2,1,19.2,10
18,21.5,2,2,21.4,10
22,21.9,2,3,21.6,10
99,129.8,2,4,22.1,10
11,20.9,2,5,22.7,10
23,22.1,3,1,21.9,10
74,54.1,3,2,81.5,10
9,20.7,3,3,21.2,10
65,41.5,3,4,62.2,10
49,29.3,3,5,41.2,10
67,54.2,4,1,63.3,10
55,38.3,4,2,29.4,10
67,54.2,4,3,54.2,10
94,155.1,4,4,100.1,10
87,114.9,4,5,145.2,10
54,36.1,5,1,29.2,10
35,26.2,5,2,24.2,10
34,25.9,5,3,26.1,10
1,21.1,5,4,1.1,10
90,117.8,5,5,119.9,10
42,29.3,1,1,1.0,11
16,22.5,1,2,12.8,11
68,54.6,1,3,42.2,11
69,56.4,1,4,55.7,11
74,66.8,1,5,61.5,11
83,89.7,2,1,72.5,11
84,93.2,2,2,90.4,11
54,36.7,2,3,61.5,11
78,74.4,2,4,69.4,11
4,21.7,2,5,1.2,11
11,22.1,3,1,11.2,11
23,24.1,3,2,34.2,11
13,22.4,3,3,23.1,11
69,62.6,3,4,56.4,11
