x,y,machine,trial,y_pred,subject
3.2,-26.5,1,1,9.6,1
9.5,-87.6,1,2,196.5,1
70.4,-659.6,1,3,-569.6,1
94.0,-883.4,1,4,-929.0,1
66.3,-625.1,1,5,-637.1,1
24.3,-225.8,2,1,572.8,1
0.8,-14.2,2,2,8.6,1
48.6,-444.8,2,3,0.0,1
42.0,-385.9,2,4,378.0,1
76.0,-692.9,2,5,693.2,1
16.1,-181.4,3,1,0.0,1
8.9,-104.8,3,2,80.7,1
89.9,-976.5,3,3,1021.1,1
15.3,-173.7,3,4,169.7,1
28.7,-318.3,3,5,-270.8,1
85.1,-791.4,4,1,8.4,1
79.9,-742.9,4,2,751.7,1
11.0,-106.3,4,3,0.0,1
45.8,-427.5,4,4,429.2,1
31.7,-297.6,4,5,345.8,1
46.0,-413.5,5,1,0.0,1
38.8,-347.7,5,2,351.2,1
29.1,-260.1,5,3,325.8,1
13.1,-111.9,5,4,121.9,1
67.4,-610.8,5,5,-632.8,1
90.3,-916.9,1,1,0.2,2
6.6,-77.0,1,2,0.0,2
99.1,-1007.2,1,3,898.0,2
70.4,-718.9,1,4,-818.8,2
6.7,-76.8,1,5,77.1,2
60.2,-554.7,2,1,3612.0,2
63.3,-580.6,2,2,567.8,2
3.1,-27.0,2,3,0.0,2
94.9,-874.6,2,4,-929.0,2
14.3,-128.2,2,5,0.0,2
19.7,-207.3,3,1,-177.8,2
3.8,-45.6,3,2,0.0,2
14.4,-154.5,3,3,0.0,2
15.6,-167.1,3,4,169.7,2
26.0,-269.5,3,5,0.0,2
4.5,-38.6,4,1,0.0,2
82.7,-778.6,4,2,-813.8,2
47.8,-448.6,4,3,0.0,2
58.8,-552.6,4,4,0.0,2
56.5,-530.7,4,5,534.5,2
90.9,-970.2,5,1,0.0,2
84.4,-901.9,5,2,792.8,2
65.4,-698.5,5,3,0.0,2
13.6,-146.6,5,4,121.4,2
8.7,-94.7,5,5,0.0,2
22.9,-229.4,1,1,1.2,3
50.7,-494.6,1,2,5070.0,3
78.7,-762.3,1,3,0.0,3
10.0,-102.6,1,4,0.0,3
41.5,-407.1,1,5,416.5,3
79.3,-762.2,2,1,6332.9,3
9.4,-87.1,2,2,100.2,3
67.4,-647.9,2,3,653.8,3
2.2,-16.4,2,4,0.0,3
3.8,-28.7,2,5,1.7,3
85.5,-772.5,3,1,854.9,3
99.3,-899.6,3,2,959.4,3
92.2,-832.1,3,3,849.4,3
43.7,-391.8,3,4,430.8,3
65.1,-585.9,3,5,635.2,3
16.4,-170.2,4,1,0.0,3
21.7,-227.9,4,2,232.1,3
20.2,-210.2,4,3,206.8,3
39.2,-413.5,4,4,369.8,3
36.3,-382.7,4,5,377.7,3
15.6,-156.3,5,1,161.2,3
82.9,-863.7,5,2,811.8,3
96.8,-1008.5,5,3,-929.8,3
63.0,-652.2,5,4,-624.8,3
25.5,-261.0,5,5,0.0,3
70.0,-716.5,1,1,0.0,4
82.2,-838.9,1,2,1211.7,4
86.2,-876.8,1,3,851.1,4
57.3,-586.3,1,4,-637.7,4
