x,y,machine,trial,y_pred,subject
28,-109.2,1,1,0.5,1
27,-108.0,1,2,-108.8,1
72,-193.5,1,3,-109.2,1
29,-113.0,1,4,-110.8,1
59,-169.9,1,5,-172.0,1
62,-190.2,2,1,-215.8,1
10,-42.7,2,2,-74.0,1
91,-270.8,2,3,-215.8,1
25,-85.3,2,4,-105.0,1
26,-86.3,2,5,-88.0,1
63,-138.6,3,1,-190.8,1
15,-42.7,3,2,-48.0,1
44,-100.2,3,3,-93.8,1
0,-13.0,3,4,-0.0,1
87,-183.6,3,5,-200.8,1
86,-172.6,4,1,-183.6,1
18,-77.2,4,2,-48.0,1
56,-129.8,4,3,-131.8,1
86,-171.8,4,4,-172.6,1
32,-97.3,4,5,-116.0,1
49,-196.6,5,1,-116.8,1
31,-159.6,5,2,-95.8,1
35,-165.8,5,3,-176.8,1
74,-247.9,5,4,-206.8,1
38,-174.9,5,5,-174.0,1
72,-153.2,1,1,1.0,2
75,-160.5,1,2,-156.5,2
88,-187.2,1,3,-188.8,2
85,-180.3,1,4,-180.5,2
25,-66.7,1,5,-53.5,2
11,-42.8,2,1,-24.2,2
14,-48.9,2,2,-49.1,2
4,-31.9,2,3,-16.8,2
10,-41.5,2,4,-41.8,2
20,-62.5,2,5,-57.8,2
96,-265.2,3,1,-205.2,2
50,-174.0,3,2,-135.5,2
90,-253.7,3,3,-255.0,2
13,-102.6,3,4,-48.8,2
32,-139.7,3,5,-116.8,2
77,-121.9,4,1,-215.8,2
4,-55.3,4,2,-21.8,2
68,-114.4,4,3,-106.8,2
17,-68.8,4,4,-66.8,2
82,-126.2,4,5,-130.0,2
5,-12.2,5,1,-10.0,2
64,-132.0,5,2,-153.0,2
66,-133.3,5,3,-135.0,2
46,-96.0,5,4,-125.0,2
61,-124.8,5,5,-125.0,2
63,-175.9,1,1,63.0,3
27,-109.7,1,2,-69.3,3
54,-159.1,1,3,-219.4,3
8,-74.4,1,4,-47.8,3
46,-145.3,1,5,-143.8,3
32,-101.5,2,1,-93.6,3
40,-111.8,2,2,-116.8,3
78,-170.0,2,3,-183.8,3
11,-70.9,2,4,-79.2,3
49,-126.6,2,5,-148.0,3
26,-68.1,3,1,-93.2,3
47,-107.9,3,2,-116.8,3
0,-18.3,3,3,-0.0,3
15,-48.4,3,4,-54.8,3
38,-92.2,3,5,-93.0,3
78,-205.3,4,1,-170.0,3
19,-88.9,4,2,-116.0,3
48,-144.0,4,3,-153.0,3
25,-101.1,4,4,-106.8,3
80,-212.0,4,5,-206.8,3
17,-55.9,5,1,-57.8,3
79,-146.7,5,2,-200.0,3
86,-157.2,5,3,-155.0,3
87,-157.9,5,4,-160.0,3
81,-148.3,5,5,-149.0,3
19,-81.6,1,1,1.0,4
66,-149.6,1,2,-1.6,4
89,-181.2,1,3,-196.4,4
87,-178.7,1,4,-177.6,4
25,-89.8,1,5,-100.0,4
95,-262.2,2,1,-183.8,4
67,-206.5,2,2,-151.8,4
11,-91.9,2,3,-47.8,4
49,-170.1,2,4,-176.8,4
19,-109.9,2,5,-81.6,4
2,-10.4,3,1,-8.8,4
28,-79.2,3,2,-66.8,4
83,-226.2,3,3,-241.8,4
6,-18.6,3,4,-30.6,4
67,-183.3,3,5,-200.2,4
2,-52.7,4,1,-8.4,4
84,-206.2,4,2,-229.8,4
75,-188.6,4,3,-188.8,4
5,-57.3,4,4,-21.8,4
64,-168.5,4,5,-176.8,4
6,-58.5,5,1,-21.6,4
88,-207.6,5,2,-206.8,4
68,-168.9,5,3,-176.8,4
89,-209.3,5,4,-208.1,4
25,-94.2,5,5,-88.8,4
51,-104.2,1,1,1.0,5
11,-62.8,1,2,-21.4,5
78,-126.8,1,3,-160.8,5
28,-81.4,1,4,-74.8,5
49,-101.3,1,5,-103.8,5
33,-131.7,2,1,-66.6,5
9,-72.8,2,2,-62.8,5
14,-83.5,2,3,-88.6,5
15,-84.8,2,4,-84.5,5
93,-275.3,2,5,-142.8,5
47,-174.1,3,1,-116.8,5
44,-168.1,3,2,-165.8,5
29,-132.3,3,3,-116.8,5
81,-249.4,3,4,-241.8,5
60,-201.9,3,5,-192.8,5
40,-126.0,4,1,-160.8,5
48,-142.1,4,2,-131.0,5
64,-175.0,4,3,-176.8,5
24,-95.1,4,4,-93.0,5
17,-81.8,4,5,-84.0,5
27,-76.2,5,1,-108.0,5
30,-81.1,5,2,-84.0,5
