run,trial,ytrue,ypred,x,name
0,0,-0.8,1.0,"[-0.67, -1.0, -0.33, 0.26, 0.29]",birthweight
0,1,0.05,-1.0,"[-1.0, -1.0, -1.0, -0.88, -0.35]",birthweight
0,2,0.5,0.47,"[-1.0, 1.0, -0.33, -0.56, 0.23]",birthweight
0,3,-0.17,-0.8,"[-0.67, -1.0, -0.33, -0.84, -0.42]",birthweight
0,4,-0.14,-0.33,"[-1.0, -1.0, -0.33, -0.71, -0.61]",birthweight
1,0,0.1,1.0,"[-0.67, 1.0, -0.33, -0.88, -0.74]",birthweight
1,1,0.05,-0.1,"[-1.0, -1.0, -1.0, -0.88, -0.35]",birthweight
1,2,-0.15,0.15,"[-0.67, 1.0, -0.33, 0.2, -0.68]",birthweight
1,3,0.18,-0.2,"[-0.67, -1.0, -0.33, -0.54, -0.81]",birthweight
1,4,0.44,-0.14,"[-0.67, -1.0, -0.33, 0.89, -0.29]",birthweight
2,0,0.42,1.0,"[-0.67, -1.0, -0.33, 0.22, -0.68]",birthweight
2,1,0.07,0.42,"[-0.33, -1.0, -0.33, 0.59, 0.1]",birthweight
2,2,0.25,-0.47,"[-0.67, -1.0, -0.33, -0.35, -0.87]",birthweight
2,3,-0.14,0.21,"[-1.0, -1.0, -0.33, -0.71, -0.61]",birthweight
2,4,0.37,0.04,"[-0.67, -1.0, -0.33, -0.21, -0.68]",birthweight
3,0,-0.01,0.0,"[-1.0, -1.0, -0.33, 0.44, 0.42]",birthweight
3,1,0.03,-0.02,"[-0.33, -1.0, -0.33, -0.18, -0.03]",birthweight
3,2,-0.34,0.11,"[0.0, -1.0, -0.33, -0.53, -0.61]",birthweight
3,3,-0.43,-0.13,"[-0.67, -1.0, -1.0, -0.12, -0.35]",birthweight
3,4,0.51,-0.21,"[-1.0, -1.0, -0.33, -0.36, -0.1]",birthweight
4,0,0.34,1.0,"[-0.67, -1.0, -0.33, -0.53, -0.81]",birthweight
4,1,0.36,0.21,"[-1.0, -1.0, -0.33, -0.47, -0.48]",birthweight
4,2,-0.31,0.38,"[-1.0, 1.0, -1.0, -0.41, -0.48]",birthweight
4,3,-0.18,-0.31,"[-0.67, -1.0, -1.0, -0.75, -1.0]",birthweight
4,4,-0.3,-0.14,"[-0.67, 1.0, -0.33, -1.0, -0.61]",birthweight
5,0,0.47,0.25,"[-0.33, -1.0, -0.33, 0.25, 0.16]",birthweight
5,1,0.03,-0.11,"[-0.33, -1.0, -0.33, -0.18, -0.03]",birthweight
5,2,0.14,-0.47,"[-0.33, -1.0, -0.33, -0.82, 0.03]",birthweight
5,3,0.11,-0.17,"[-0.33, -1.0, -0.33, -0.59, -0.35]",birthweight
5,4,0.2,0.61,"[-1.0, 1.0, -1.0, 0.05, -0.61]",birthweight
6,0,1.0,1.0,"[-1.0, -1.0, -0.33, -0.49, 1.0]",birthweight
6,1,0.41,-1.0,"[-1.0, -1.0, -0.33, -0.65, -0.35]",birthweight
6,2,0.18,0.0,"[-0.67, -1.0, -0.33, -0.29, -0.1]",birthweight
6,3,0.12,0.0,"[-1.0, -1.0, -0.33, -0.53, -0.48]",birthweight
6,4,-0.12,0.0,"[-0.33, 1.0, -0.33, -0.67, -0.55]",birthweight
7,0,-0.31,1.0,"[-0.67, 1.0, -0.33, -0.41, -0.16]",birthweight
7,1,0.09,-0.31,"[-1.0, -1.0, -0.33, -0.66, 0.23]",birthweight
7,2,-0.21,-0.21,"[-1.0, -1.0, -0.33, -0.41, -0.48]",birthweight
7,3,0.34,-0.25,"[-0.67, -1.0, -0.33, -0.41, -0.42]",birthweight
7,4,-0.48,0.14,"[-0.67, -1.0, -0.33, -0.71, 0.16]",birthweight
8,0,-0.05,1.0,"[-0.33, 1.0, -1.0, -0.68, 0.03]",birthweight
8,1,-0.43,-0.58,"[-0.67, -1.0, -0.33, -0.86, -0.29]",birthweight
8,2,-0.8,0.43,"[-0.67, -1.0, -0.33, 0.26, 0.29]",birthweight
8,3,-0.03,-0.61,"[0.0, -1.0, -0.33, -0.55, -0.29]",birthweight
8,4,-0.26,-0.05,"[0.33, -1.0, -1.0, -0.76, -0.55]",birthweight
9,0,0.01,1.0,"[-0.67, -1.0, -0.33, -0.53, -0.1]",birthweight
9,1,-0.09,0.02,"[-0.67, -1.0, -0.33, -0.61, -0.23]",birthweight
9,2,0.17,-0.31,"[-0.67, 1.0, -0.33, -0.65, -0.55]",birthweight
9,3,-0.26,-0.03,"[0.33, -1.0, -1.0, -0.76, -0.55]",birthweight
9,4,0.11,-0.02,"[-0.67, -1.0, -0.33, -0.94, -0.48]",birthweight
