run,trial,ytrue,ypred,x,name
0,0,-0.27,1,"[-0.87, 0.2, 0.45, -0.64, -0.38]",airfoil
0,1,-0.24,1,"[-0.94, 1.0, 0.45, -1.0, 0.24]",airfoil
0,2,0.0,1,"[0.15, 1.0, -0.45, 0.11, -0.82]",airfoil
0,3,0.0,1,"[-0.22, -0.6, -1.0, 1.0, -0.86]",airfoil
0,4,0.44,1,"[-0.85, -0.6, 0.45, -0.64, -0.94]",airfoil
1,0,-0.32,1,"[-0.4, -1.0, -1.0, 0.57, -1.0]",airfoil
1,1,0.39,1,"[-0.8, -0.6, 0.45, -0.52, -0.94]",airfoil
1,2,-0.22,1,"[-0.93, -0.6, -0.45, -0.7, -0.21]",airfoil
1,3,0.09,1,"[-0.28, 1.0, -1.0, 1.0, -0.62]",airfoil
1,4,-0.01,1,"[-0.65, 1.0, 0.45, -0.34, -0.77]",airfoil
2,0,0.64,1,"[-0.99, -0.6, -0.82, -1.0, -0.52]",airfoil
2,1,-0.29,1,"[-0.93, 1.0, -0.09, -0.76, -0.01]",airfoil
2,2,0.38,1,"[-0.53, 1.0, -0.82, 0.01, -0.98]",airfoil
2,3,0.16,1,"[-0.89, -0.6, 0.45, -0.82, -0.97]",airfoil
2,4,0.58,1,"[-0.83, 0.2, -0.45, -0.4, -0.96]",airfoil
3,0,-0.6,1,"[-0.84, 1.0, 1.0, -0.64, -0.01]",airfoil
3,1,0.38,1,"[-0.97, 1.0, -0.45, -1.0, -0.38]",airfoil
3,2,0.37,1,"[-0.94, 0.2, -0.45, -0.7, -0.94]",airfoil
3,3,0.48,1,"[-0.98, -0.6, -1.0, -0.57, -0.77]",airfoil
3,4,-0.03,1,"[-0.85, -0.6, 0.45, -0.64, -0.82]",airfoil
4,0,0.05,1,"[-0.44, 0.2, -1.0, 0.57, -0.94]",airfoil
4,1,0.63,1,"[-0.93, -1.0, -0.45, -0.7, -0.89]",airfoil
4,2,-0.32,1,"[-0.98, -1.0, -1.0, -0.57, -0.97]",airfoil
4,3,-0.26,1,"[-0.86, 0.2, 1.0, -0.73, -0.52]",airfoil
4,4,0.29,1,"[-0.87, 1.0, 1.0, -0.73, -0.98]",airfoil
5,0,-0.28,0.5,"[-0.35, 1.0, -0.09, -0.11, -0.7]",airfoil
5,1,0.35,-0.78,"[-0.56, -1.0, 0.45, -0.34, -1.0]",airfoil
5,2,-0.07,-0.04,"[0.15, 1.0, -0.45, 0.11, -0.7]",airfoil
5,3,-0.08,0.4,"[-0.4, -1.0, -1.0, 0.57, -0.98]",airfoil
5,4,0.01,-0.21,"[-0.7, -0.6, -0.09, -0.35, -0.89]",airfoil
6,0,0.49,1.0,"[-0.85, -1.0, -1.0, -0.14, -0.92]",airfoil
6,1,0.59,0.39,"[-0.88, 1.0, -0.09, -0.51, -0.86]",airfoil
6,2,0.49,0.67,"[-0.98, -0.6, -1.0, -0.57, -0.21]",airfoil
6,3,-0.06,0.39,"[-0.59, -0.6, 0.45, -0.34, -0.86]",airfoil
6,4,0.12,0.79,"[-0.86, 0.2, 1.0, -0.73, -0.86]",airfoil
7,0,0.33,1.0,"[-0.87, 1.0, 1.0, -0.73, -0.97]",airfoil
7,1,0.06,-0.13,"[-0.28, 1.0, -1.0, 1.0, -0.94]",airfoil
7,2,0.26,-0.47,"[-0.98, -1.0, -1.0, -0.57, -0.21]",airfoil
7,3,-0.49,0.14,"[-0.93, 1.0, -0.09, -0.76, 0.24]",airfoil
7,4,0.17,-0.33,"[-0.97, 1.0, -0.45, -1.0, -0.21]",airfoil
8,0,-0.15,1.0,"[0.43, -1.0, -0.45, 0.11, -0.96]",airfoil
8,1,-0.16,-0.31,"[-0.58, -0.6, -0.45, -0.2, -0.77]",airfoil
8,2,0.05,-0.14,"[-0.56, -1.0, 0.45, -0.34, -0.94]",airfoil
8,3,0.64,-0.16,"[-0.83, 1.0, -0.82, -0.24, -0.77]",airfoil
