run,trial,ytrue,ypred,x,name
0,0,-1.0,-0.42,"[0.26, -0.55, -0.99, -0.87, -0.97]",news
0,1,-1.0,-1.0,"[-1.0, -0.55, -0.99, -0.82, -0.96]",news
0,2,-1.0,-1.0,"[-0.22, -0.99, -0.99, -0.74, -0.91]",news
0,3,-1.0,-1.0,"[-0.97, -0.97, -1.0, -0.9, -0.98]",news
0,4,-0.99,-1.0,"[0.17, -0.99, -0.77, -0.8, -0.96]",news
1,0,-1.0,-0.92,"[-0.76, -0.99, -0.99, -0.89, -0.97]",news
1,1,-1.0,-1.0,"[-1.0, -1.0, -1.0, -0.86, -0.96]",news
1,2,-1.0,0.5,"[-0.99, 0.5, -0.99, -0.92, -0.98]",news
1,3,-1.0,-0.5,"[0.67, -0.95, -1.0, -0.87, -0.98]",news
1,4,-1.0,-1.0,"[-1.0, -1.0, -0.99, -0.87, -0.97]",news
2,0,-1.0,-2.15,"[-0.97, 0.32, -0.99, -0.9, -0.98]",news
2,1,-1.0,-1.0,"[0.01, -1.0, -1.0, -0.78, -0.94]",news
2,2,-1.0,-1.0,"[-1.0, -1.0, -1.0, -0.89, -0.97]",news
2,3,-0.99,-1.0,"[-0.99, -0.99, -0.99, -0.87, -0.97]",news
2,4,-0.9,-0.5,"[0.8, -0.99, -0.97, -0.73, -0.94]",news
3,0,-0.99,-0.94,"[-0.98, -0.99, -0.99, -0.81, -0.95]",news
3,1,-1.0,-0.98,"[-0.97, -0.97, -0.99, -0.9, -0.98]",news
3,2,-1.0,-0.99,"[-0.68, -0.98, -1.0, -0.88, -0.98]",news
3,3,-1.0,-1.0,"[-0.99, -0.99, -0.99, -0.91, -0.98]",news
3,4,-1.0,-0.8,"[0.62, -0.78, -1.0, -0.81, -0.96]",news
4,0,-1.0,-0.91,"[-0.97, -0.97, -0.86, -0.81, -0.95]",news
4,1,-1.0,-0.64,"[-0.96, 0.67, -1.0, -0.91, -0.98]",news
4,2,-0.99,-1.0,"[-0.97, -0.97, -0.99, -0.82, -0.97]",news
4,3,-1.0,-1.0,"[-0.96, -0.96, -0.99, -0.86, -0.98]",news
4,4,-0.96,-1.0,"[-0.8, -0.99, -1.0, -0.8, -0.96]",news
5,0,-0.98,-0.95,"[-0.99, -0.99, -0.99, -0.84, -0.97]",news
5,1,-1.0,-0.6,"[-0.62, 0.41, -1.0, -0.86, -0.95]",news
5,2,-1.0,-0.99,"[-0.98, -0.05, -1.0, -1.0, -1.0]",news
5,3,-0.99,-0.94,"[-0.99, 0.8, -1.0, -0.9, -0.98]",news
5,4,-1.0,-0.97,"[-0.98, 0.13, -0.99, -0.9, -0.98]",news
6,0,-1.0,-1.34,"[-0.99, 0.14, -0.99, -0.87, -0.96]",news
6,1,-1.0,-1.0,"[-0.17, -0.99, -1.0, -0.82, -0.94]",news
6,2,-1.0,-1.0,"[-0.99, -0.99, -1.0, -0.87, -0.97]",news
6,3,-1.0,-1.0,"[-0.99, 0.79, -1.0, -0.9, -0.97]",news
6,4,-1.0,-1.0,"[-0.96, 0.67, -0.99, -0.9, -0.98]",news
7,0,-1.0,-0.97,"[-0.96, -0.96, -1.0, -0.93, -0.98]",news
7,1,-1.0,0.77,"[-0.98, 0.77, -1.0, -0.53, -0.62]",news
7,2,-1.0,-1.0,"[-0.98, -0.98, -0.99, -0.91, -0.98]",news
7,3,-0.99,-1.0,"[-1.0, 0.21, -1.0, -0.9, -0.98]",news
7,4,-0.99,-0.95,"[0.25, -0.98, -0.98, -0.79, -0.95]",news
8,0,-1.0,-1.52,"[0.15, -0.99, -1.0, -0.84, -0.97]",news
8,1,-1.0,-1.0,"[-0.97, -0.52, -0.99, -0.87, -0.98]",news
8,2,-1.0,-1.0,"[-0.82, -0.99, -0.99, -0.86, -0.96]",news
8,3,-0.99,-1.0,"[-1.0, -0.79, -1.0, -0.86, -0.97]",news
8,4,-1.0,-0.95,"[-0.97, -0.24, -0.96, -0.85, -0.97]",news
9,0,-0.99,-0.95,"[-0.96, -0.96, -1.0, -0.85, -0.98]",news
9,1,-1.0,-0.97,"[-0.94, -0.94, -1.0, -0.9, -0.98]",news
9,2,-1.0,-0.66,"[-1.0, 0.33, -1.0, -0.88, -0.97]",news
9,3,-1.0,-0.99,"[-0.98, 0.77, -1.0, -0.92, -0.98]",news
9,4,-1.0,-0.95,"[0.23, -0.51, -1.0, -0.96, -0.99]",news
10,0,-1.0,3.2,"[-0.99, -0.7, -1.0, -0.9, -0.97]",news
10,1,-0.99,-0.95,"[-0.93, -0.93, -0.98, -0.84, -0.97]",news
10,2,-1.0,-0.6,"[-1.0, 0.6, -1.0, -0.91, -0.98]",news
10,3,-1.0,-0.98,"[-0.96, -0.96, -0.96, -0.85, -0.98]",news
10,4,-1.0,-1.0,"[-0.98, -0.98, -1.0, -0.92, -0.98]",news
11,0,-1.0,-4.63,"[-0.81, -0.99, -0.99, -0.88, -0.96]",news
11,1,-1.0,-0.71,"[-0.97, 0.39, -1.0, -0.89, -0.98]",news
11,2,-0.98,-1.0,"[-0.96, -0.97, -0.98, -0.81, -0.96]",news
11,3,-1.0,-1.0,"[-0.97, -0.97, -0.99, -0.89, -0.98]",news
11,4,-1.0,-0.99,"[-0.97, -0.63, -0.99, -0.87, -0.98]",news
12,0,-1.0,-1.43,"[-0.98, 0.77, -1.0, -0.89, -0.98]",news
12,1,-0.99,-1.0,"[0.49, -0.99, -0.99, -0.86, -0.97]",news
12,2,-1.0,-0.95,"[-0.95, -0.04, -0.99, -0.85, -0.97]",news
12,3,-1.0,-1.0,"[-0.14, -0.55, -1.0, -0.91, -0.98]",news
12,4,-1.0,-1.0,"[-0.96, 0.31, -1.0, -0.91, -0.98]",news
13,0,-1.0,-4.72,"[-0.96, -0.96, -0.99, -0.84, -0.97]",news
13,1,-1.0,-0.68,"[-0.97, 0.73, -1.0, -0.87, -0.97]",news
13,2,-0.99,-1.0,"[-1.0, -1.0, -0.99, -0.86, -0.97]",news
13,3,-1.0,-0.34,"[0.35, -0.56, -1.0, -0.84, -0.96]",news
