run,trial,ytrue,ypred,x,name
0,0,0.15,2.1,"[1.0, 0.5, 0.5, 0.2, -0.33]",recycle
0,1,0.23,-0.15,"[-1.0, -0.5, -0.5, -1.0, -0.02]",recycle
0,2,-0.16,0.42,"[1.0, 0.25, 1.0, 1.0, -0.06]",recycle
0,3,-0.3,-0.12,"[1.0, 0.0, 1.0, 1.0, -0.45]",recycle
0,4,-0.23,-0.12,"[1.0, 0.25, 1.0, 1.0, -0.14]",recycle
1,0,0.23,2.3,"[-1.0, 0.0, 0.5, -0.6, 0.45]",recycle
1,1,-0.73,-0.12,"[1.0, -0.5, 0.0, 1.0, -1.0]",recycle
1,2,0.15,0.42,"[1.0, 0.5, 0.5, 0.2, -0.33]",recycle
1,3,0.02,0.02,"[-1.0, 0.25, 0.5, -0.6, -0.18]",recycle
1,4,-0.16,0.89,"[1.0, 0.25, 1.0, 1.0, -0.06]",recycle
2,0,0.11,2.3,"[1.0, 0.0, 0.5, 1.0, -0.65]",recycle
2,1,0.02,-0.23,"[-1.0, 0.25, 0.5, -0.6, -0.18]",recycle
2,2,-0.16,0.23,"[1.0, 0.25, 1.0, 1.0, -0.06]",recycle
2,3,-1.0,0.23,"[1.0, -1.0, -1.0, 1.0, -0.8]",recycle
2,4,0.1,0.08,"[-1.0, 0.0, 0.5, -0.6, 0.45]",recycle
3,0,-0.15,3.25,"[1.0, 0.25, 1.0, 1.0, -0.25]",recycle
3,1,0.23,0.25,"[-1.0, -0.5, -0.5, -1.0, -0.02]",recycle
3,2,-0.57,0.05,"[1.0, -0.75, -0.5, 1.0, -1.0]",recycle
3,3,0.6,0.34,"[-1.0, -0.25, 0.5, -0.6, 0.88]",recycle
3,4,0.07,0.48,"[-1.0, -0.25, 0.5, -0.6, 0.45]",recycle
4,0,-0.79,2.3,"[1.0, -0.25, 0.5, 1.0, -0.27]",recycle
4,1,0.23,0.37,"[-1.0, 0.0, 0.5, -0.6, 0.45]",recycle
4,2,-0.15,1.15,"[1.0, 0.25, 1.0, 1.0, -0.25]",recycle
4,3,-0.3,-0.45,"[1.0, 0.0, 1.0, 1.0, -0.45]",recycle
4,4,0.55,0.42,"[-1.0, 0.25, 1.0, -0.6, -0.06]",recycle
5,0,0.37,3.2,"[-1.0, 0.75, 1.0, -0.6, -0.57]",recycle
5,1,0.07,-0.02,"[-1.0, -0.25, 0.5, -0.6, 0.45]",recycle
5,2,-0.23,1.12,"[1.0, 0.25, 1.0, 1.0, -0.14]",recycle
5,3,-0.34,-0.03,"[1.0, 0.25, 0.5, 1.0, 0.02]",recycle
5,4,0.11,-0.28,"[1.0, 0.0, 0.5, 1.0, -0.65]",recycle
6,0,-0.57,2.3,"[1.0, -0.75, -0.5, 1.0, -1.0]",recycle
6,1,1.0,0.52,"[-1.0, 0.75, 1.0, -0.6, 1.0]",recycle
6,2,-1.0,-0.52,"[1.0, -1.0, -1.0, 1.0, -0.8]",recycle
6,3,0.2,0.29,"[-1.0, 0.0, 1.0, -0.6, 0.45]",recycle
6,4,-0.34,0.45,"[1.0, 0.25, 0.5, 1.0, 0.02]",recycle
7,0,0.37,3.2,"[-1.0, 0.75, 1.0, -0.6, -0.57]",recycle
7,1,-0.43,-0.12,"[-1.0, -0.25, 0.5, -0.6, -0.57]",recycle
7,2,-0.23,1.12,"[1.0, 0.25, 1.0, 1.0, -0.14]",recycle
7,3,0.01,0.45,"[1.0, 0.0, 1.0, 1.0, 0.29]",recycle
7,4,0.89,1.12,"[-1.0, 0.75, 1.0, -0.6, 0.88]",recycle
8,0,-0.73,2.3,"[1.0, -0.5, 0.0, 1.0, -1.0]",recycle
8,1,0.7,0.42,"[-1.0, 0.5, 1.0, -0.6, 1.0]",recycle
8,2,0.88,0.65,"[-1.0, 0.5, 1.0, -0.6, 0.67]",recycle
8,3,0.89,1.02,"[-1.0, 0.75, 1.0, -0.6, 0.88]",recycle
8,4,0.23,0.42,"[-1.0, 0.0, 0.5, -0.6, 0.45]",recycle
9,0,-1.0,2.3,"[1.0, -1.0, -1.0, 1.0, -0.8]",recycle
9,1,-0.23,1.0,"[1.0, 0.25, 1.0, 1.0, -0.14]",recycle
9,2,0.11,-0.35,"[1.0, 0.0, 0.5, 1.0, -0.65]",recycle
9,3,0.72,1.34,"[-1.0, 1.0, 1.0, -0.6, 0.88]",recycle
9,4,0.89,0.49,"[-1.0, 0.75, 1.0, -0.6, 0.88]",recycle
10,0,0.89,3.2,"[-1.0, 0.75, 1.0, -0.6, 0.88]",recycle
10,1,0.23,-0.41,"[-1.0, -0.5, -0.5, -1.0, -0.02]",recycle
10,2,0.23,0.52,"[-1.0, 0.0, 0.5, -0.6, 0.45]",recycle
10,3,-0.15,0.75,"[1.0, 0.25, 1.0, 1.0, -0.25]",recycle
10,4,-0.16,-0.12,"[1.0, 0.25, 1.0, 1.0, -0.06]",recycle
11,0,0.7,3.2,"[-1.0, 0.5, 1.0, -0.6, 1.0]",recycle
11,1,0.88,0.6,"[-1.0, 0.5, 1.0, -0.6, 0.67]",recycle
11,2,-0.34,1.15,"[1.0, 0.25, 0.5, 1.0, 0.02]",recycle
11,3,1.0,0.8,"[-1.0, 0.75, 1.0, -0.6, 1.0]",recycle
11,4,-0.79,-0.52,"[1.0, -0.25, 0.5, 1.0, -0.27]",recycle
12,0,0.6,3.2,"[-1.0, -0.25, 0.5, -0.6, 0.88]",recycle
12,1,0.47,0.5,"[-1.0, -0.25, 0.5, -0.6, 0.45]",recycle
12,2,-0.48,0.3,"[1.0, -0.5, 0.0, 1.0, -0.49]",recycle
12,3,0.1,0.44,"[-1.0, 0.0, 0.5, -0.6, 0.45]",recycle
12,4,0.02,-0.03,"[-1.0, 0.25, 0.5, -0.6, -0.18]",recycle
