run,trial,ytrue,ypred,x,name
0,0,0.05,-0.37,"[-0.85, 0.15, -0.5, -0.1, -0.04]",concrete
0,1,-0.9,0.1,"[-1.0, -0.15, -1.0, 0.03, 0.29]",concrete
0,2,-0.24,-0.4,"[-0.85, -0.42, -0.32, 0.3, -0.74]",concrete
0,3,-0.19,-0.15,"[-0.99, 0.26, -0.28, -0.44, 0.3]",concrete
0,4,0.2,-0.56,"[-0.51, -0.38, -1.0, 0.12, -0.15]",concrete
1,0,-0.47,-1.29,"[-0.85, -0.07, -0.56, -0.02, -0.79]",concrete
1,1,0.02,0.12,"[-0.7, 0.54, -0.53, -0.23, -0.58]",concrete
1,2,-0.23,0.08,"[-0.93, 0.53, -0.23, -0.61, -0.32]",concrete
1,3,-0.25,-0.25,"[-0.85, -0.16, -0.34, 0.23, -0.22]",concrete
1,4,-0.46,-0.33,"[-0.99, -0.19, -0.41, -0.15, 0.08]",concrete
2,0,-0.26,-0.37,"[-0.85, -0.2, -1.0, 0.02, 0.08]",concrete
2,1,-0.47,-0.47,"[-0.85, 0.12, -0.81, -0.04, -0.8]",concrete
2,2,-0.13,-0.34,"[-0.85, -0.57, -0.44, 0.4, -0.22]",concrete
2,3,-0.04,-0.3,"[-0.46, -0.18, -0.62, 0.17, -0.42]",concrete
2,4,-0.5,-0.34,"[-0.85, -0.1, -1.0, 0.01, -0.18]",concrete
3,0,-0.0,-0.37,"[-0.93, 0.48, -0.12, -0.61, -0.31]",concrete
3,1,-0.57,-0.0,"[-0.85, -0.05, -1.0, 0.01, -0.32]",concrete
3,2,0.05,-0.44,"[-0.85, -0.04, -0.32, -0.17, -0.82]",concrete
3,3,-0.61,-0.52,"[-0.97, -0.09, -1.0, 0.3, 0.13]",concrete
3,4,-0.67,-0.52,"[-0.99, 0.25, -1.0, 0.12, 0.05]",concrete
4,0,-0.88,-0.48,"[-0.99, -0.06, -0.49, -0.23, -0.63]",concrete
