run,trial,ytrue,ypred,x,name
0,0,-0.91,-0.72,"[-0.44, -0.54, -0.98, -1.0, -0.67]",movie
0,1,-0.11,-0.55,"[0.22, -0.62, -0.93, -0.62, -0.78]",movie
0,2,0.14,0.08,"[0.16, 0.23, 0.44, -0.61, -0.86]",movie
0,3,-0.36,-0.49,"[0.19, -0.9, -0.81, -0.25, -0.88]",movie
0,4,-0.95,-0.87,"[-0.53, -0.8, -0.94, -0.72, -0.67]",movie
1,0,-0.87,-0.61,"[-0.22, -0.36, -0.9, -0.88, -0.69]",movie
1,1,-0.47,-0.84,"[0.06, -0.87, -0.97, -0.68, -0.76]",movie
1,2,-0.13,0.07,"[0.5, -0.54, -0.99, -0.92, -0.23]",movie
1,3,-0.67,-0.32,"[0.38, -0.52, -0.75, -0.86, -0.64]",movie
1,4,-0.31,-0.61,"[0.03, -0.7, -0.83, -0.93, -0.66]",movie
2,0,-0.91,-0.72,"[-0.44, -0.54, -0.98, -1.0, -0.67]",movie
2,1,-0.13,-0.43,"[0.5, -0.54, -0.99, -0.92, -0.23]",movie
2,2,-0.54,0.02,"[-0.44, 0.64, -0.9, -0.67, -0.69]",movie
2,3,-0.32,-0.26,"[0.34, -0.35, -0.83, -0.84, -0.34]",movie
2,4,-0.89,-0.88,"[-0.75, -0.69, -1.0, -0.98, -0.56]",movie
3,0,-0.61,-0.84,"[-0.09, -0.93, -0.95, -0.77, -0.88]",movie
3,1,-0.83,-0.28,"[0.03, 0.45, -0.74, -0.8, -0.34]",movie
3,2,-0.92,-0.92,"[-0.75, -1.0, -0.96, -0.96, -0.93]",movie
3,3,-0.27,-0.36,"[0.19, 0.23, -0.91, -0.82, 0.49]",movie
3,4,-0.73,-0.55,"[0.25, -0.74, -0.77, -0.85, -0.66]",movie
4,0,-0.76,-0.42,"[0.09, -0.03, -0.96, -0.94, -0.72]",movie
4,1,-0.75,-0.71,"[-0.62, -0.46, -0.99, -0.94, -0.54]",movie
4,2,-0.31,-0.78,"[0.03, -0.7, -0.83, -0.93, -0.66]",movie
4,3,-0.24,-0.29,"[0.19, -0.56, -0.91, -0.86, -0.23]",movie
4,4,-0.67,-0.27,"[0.38, -0.52, -0.75, -0.86, -0.64]",movie
5,0,-0.89,-0.79,"[-0.75, -0.69, -1.0, -0.98, -0.56]",movie
5,1,-0.73,-0.55,"[0.25, -0.74, -0.77, -0.85, -0.66]",movie
5,2,-0.23,-0.47,"[0.22, -0.06, -0.93, -0.93, -0.67]",movie
5,3,0.96,0.68,"[0.94, 0.89, 0.79, 0.45, -0.67]",movie
5,4,-0.66,-0.68,"[-0.56, -0.46, -0.82, -0.98, -0.67]",movie
6,0,-0.45,-0.55,"[-0.31, -0.87, -0.89, -0.11, -0.89]",movie
