run,trial,ytrue,ypred,x,name
0,0,0.22,1.2,"[-1.0, 1.0, -0.05, -0.33, -0.48]",rent
0,1,-0.21,0.34,"[1.0, 1.0, -1.0, -0.33, -0.55]",rent
0,2,-0.47,0.15,"[1.0, 1.0, -0.05, 0.0, -0.35]",rent
0,3,-0.36,0.12,"[1.0, 1.0, 0.64, -0.33, -0.43]",rent
0,4,-0.62,-0.52,"[1.0, 1.0, -0.86, -0.33, -0.69]",rent
1,0,-0.4,3.24,"[1.0, 1.0, 0.16, 0.0, -0.49]",rent
1,1,-0.35,-0.6,"[1.0, 1.0, -1.0, 0.0, -0.25]",rent
1,2,-0.08,-0.45,"[1.0, 1.0, -1.0, 0.0, -0.4]",rent
1,3,-0.32,-0.45,"[1.0, 1.0, 0.16, -0.33, -0.56]",rent
1,4,-0.09,0.12,"[1.0, 1.0, -0.28, 0.33, -0.11]",rent
2,0,-0.7,2.3,"[1.0, 1.0, -0.28, 0.0, -0.45]",rent
2,1,-0.21,-0.6,"[1.0, 1.0, 0.01, -0.33, -0.63]",rent
2,2,0.16,1.12,"[1.0, 1.0, 0.88, 0.33, -0.25]",rent
2,3,-0.2,-0.54,"[1.0, 1.0, 0.25, -1.0, -0.7]",rent
2,4,-0.29,-0.34,"[1.0, 1.0, -1.0, 0.33, 0.43]",rent
3,0,0.12,3.12,"[-1.0, 1.0, 0.94, -0.33, -0.49]",rent
3,1,-0.52,0.18,"[1.0, 1.0, -0.28, -0.33, -0.46]",rent
3,2,-0.08,0.27,"[1.0, 1.0, 0.18, 0.0, -0.37]",rent
3,3,-0.21,0.26,"[1.0, 1.0, 0.33, -1.0, 0.54]",rent
3,4,-0.41,-0.07,"[1.0, 1.0, 0.28, 0.0, -0.38]",rent
4,0,-0.66,1.23,"[1.0, 1.0, -0.05, 0.0, -0.07]",rent
4,1,0.14,1.34,"[1.0, -1.0, -1.0, 0.33, 0.05]",rent
4,2,-0.31,-1.12,"[1.0, 1.0, -0.06, -1.0, -0.58]",rent
4,3,-0.41,-0.45,"[1.0, 1.0, -0.28, -0.33, -0.5]",rent
4,4,-0.18,0.35,"[1.0, -1.0, 0.3, 0.0, -0.25]",rent
5,0,-0.22,1.0,"[1.0, 1.0, -1.0, -0.33, -0.55]",rent
5,1,0.06,0.15,"[1.0, 1.0, -0.06, -1.0, -0.7]",rent
5,2,-0.34,0.22,"[1.0, -1.0, -0.06, 1.0, 0.23]",rent
5,3,-0.33,0.28,"[1.0, 1.0, 0.23, -1.0, -0.75]",rent
5,4,-0.31,0.15,"[1.0, 1.0, 0.81, -0.33, -0.62]",rent
6,0,-0.47,3.24,"[1.0, -1.0, 0.16, 0.0, -0.37]",rent
6,1,-0.14,0.34,"[1.0, 1.0, 0.71, -0.33, -0.5]",rent
6,2,-0.23,0.27,"[1.0, 1.0, 0.16, 0.33, 0.07]",rent
6,3,0.05,-0.54,"[1.0, -1.0, 0.93, 0.0, -0.37]",rent
6,4,0.25,-0.62,"[1.0, 1.0, 0.3, -1.0, -0.83]",rent
7,0,-0.29,2.15,"[1.0, 1.0, 0.33, 0.0, -0.37]",rent
7,1,0.14,-0.17,"[1.0, 1.0, 0.78, -0.33, -0.69]",rent
7,2,-0.2,0.02,"[1.0, 1.0, -0.06, -0.33, -0.45]",rent
7,3,-0.39,-0.08,"[1.0, 1.0, 0.23, -0.33, -0.49]",rent
7,4,-0.21,-0.34,"[1.0, 1.0, 0.01, -0.33, -0.63]",rent
8,0,0.04,3.24,"[-1.0, 1.0, 0.71, -0.33, -0.61]",rent
8,1,-0.19,-0.02,"[1.0, -1.0, 0.16, -0.33, -0.57]",rent
8,2,-0.41,0.12,"[1.0, 1.0, 0.01, -0.33, -0.56]",rent
8,3,-0.29,-0.53,"[1.0, 1.0, -0.06, -1.0, -0.7]",rent
8,4,0.23,-0.03,"[1.0, -1.0, 0.33, -0.33, -0.43]",rent
9,0,-0.36,2.15,"[1.0, 1.0, -0.05, -0.33, -0.57]",rent
9,1,-0.48,0.14,"[1.0, 1.0, -0.28, 0.0, -0.38]",rent
9,2,-0.21,0.02,"[-1.0, 1.0, 0.35, -0.33, -0.46]",rent
9,3,-0.48,-0.24,"[1.0, 1.0, 0.16, 0.0, -0.37]",rent
9,4,0.18,0.29,"[1.0, 1.0, 0.98, 0.0, -0.1]",rent
10,0,-0.37,2.3,"[1.0, 1.0, -1.0, 0.0, -0.19]",rent
