run,trial,ytrue,ypred,x,name
0,0,-0.52,2.3,"[-0.2, -1.0, 1.0, 1.0, 1.0]",tip
0,1,-0.53,-0.84,"[-0.6, -1.0, 1.0, -1.0, -0.48]",tip
0,2,-0.6,-0.51,"[-0.6, -1.0, 1.0, 1.0, -0.07]",tip
0,3,-0.64,-0.57,"[-0.6, -1.0, 1.0, 1.0, -0.28]",tip
0,4,-0.67,0.16,"[-0.6, 1.0, 1.0, 1.0, -0.56]",tip
1,0,-0.68,0.25,"[-0.6, -1.0, 1.0, 1.0, -0.55]",tip
1,1,-0.62,-0.72,"[-0.6, -1.0, -1.0, 1.0, -0.63]",tip
1,2,-0.68,-0.61,"[-0.6, -1.0, -1.0, 1.0, -0.55]",tip
1,3,-0.59,0.66,"[-0.6, 1.0, -1.0, 1.0, -0.53]",tip
1,4,-0.72,-0.65,"[-0.6, -1.0, -1.0, 1.0, -0.5]",tip
2,0,-0.55,2.3,"[-0.6, -1.0, 1.0, 1.0, -0.8]",tip
2,1,-0.67,0.55,"[-0.6, 1.0, -1.0, -1.0, -0.77]",tip
2,2,-0.51,-0.75,"[-0.6, -1.0, -1.0, -1.0, -0.4]",tip
2,3,-0.79,0.53,"[0.6, -1.0, 1.0, 1.0, 0.05]",tip
2,4,-0.69,-0.63,"[-0.6, 1.0, -1.0, -1.0, -0.44]",tip
3,0,-0.58,-0.23,"[-0.6, -1.0, -1.0, 1.0, -0.54]",tip
3,1,-0.73,0.57,"[-0.6, 1.0, -1.0, -1.0, -0.57]",tip
3,2,-0.76,0.39,"[0.2, -1.0, 1.0, 1.0, 0.55]",tip
3,3,-0.81,-0.52,"[-0.6, -1.0, -1.0, 1.0, -0.28]",tip
3,4,-0.7,-0.66,"[0.2, -1.0, -1.0, 1.0, -0.36]",tip
4,0,-0.72,2.15,"[0.2, -1.0, -1.0, 1.0, -0.38]",tip
4,1,-0.52,-1.2,"[-0.6, -1.0, -1.0, 1.0, -0.6]",tip
4,2,-0.49,-1.22,"[-0.2, -1.0, -1.0, -1.0, -0.42]",tip
4,3,-0.68,0.11,"[-0.6, 1.0, -1.0, -1.0, -0.61]",tip
4,4,-0.74,-0.54,"[-0.6, -1.0, 1.0, 1.0, -0.62]",tip
5,0,-0.72,2.3,"[-0.6, -1.0, 1.0, 1.0, -0.64]",tip
5,1,-0.49,0.62,"[-0.2, -1.0, -1.0, -1.0, -0.42]",tip
5,2,-0.58,-0.48,"[-0.2, -1.0, -1.0, -1.0, -0.41]",tip
5,3,-0.74,-0.45,"[-0.2, -1.0, -1.0, 1.0, -0.35]",tip
5,4,-0.72,-0.67,"[-0.6, -1.0, 1.0, -1.0, -0.2]",tip
6,0,-0.62,-0.25,"[-0.6, -1.0, -1.0, 1.0, -0.63]",tip
6,1,-0.75,0.24,"[0.2, -1.0, -1.0, 1.0, -0.44]",tip
6,2,-0.6,0.45,"[-0.6, -1.0, 1.0, -1.0, -0.4]",tip
6,3,-0.4,-0.58,"[-0.6, -1.0, 1.0, 1.0, -0.42]",tip
6,4,-0.8,0.88,"[1.0, -1.0, -1.0, 1.0, 0.89]",tip
7,0,-0.65,2.73,"[-0.6, -1.0, 1.0, -1.0, -0.19]",tip
7,1,-0.4,0.45,"[-0.6, 1.0, -1.0, 1.0, -0.09]",tip
7,2,-0.34,-0.35,"[-0.6, 1.0, 1.0, -1.0, -0.57]",tip
7,3,-0.69,-0.45,"[-0.6, 1.0, -1.0, -1.0, -0.28]",tip
7,4,-0.68,-1.14,"[-0.6, -1.0, -1.0, -1.0, -0.18]",tip
8,0,-0.8,2.15,"[-0.6, -1.0, 1.0, 1.0, 0.32]",tip
8,1,-0.34,0.6,"[-0.6, 1.0, 1.0, -1.0, -0.57]",tip
8,2,-0.6,0.22,"[0.6, -1.0, -1.0, -1.0, 0.12]",tip
8,3,-0.32,0.02,"[-0.6, -1.0, 1.0, -1.0, -0.44]",tip
8,4,-0.76,0.42,"[0.2, 1.0, 1.0, -1.0, 0.68]",tip
9,0,-0.85,2.3,"[-0.6, -1.0, 1.0, -1.0, -0.59]",tip
9,1,-0.94,0.27,"[-0.2, -1.0, 1.0, -1.0, 0.73]",tip
9,2,-0.45,0.81,"[-0.6, -1.0, -1.0, 1.0, -0.54]",tip
9,3,-0.58,-0.45,"[-0.6, -1.0, -1.0, 1.0, -0.54]",tip
9,4,-0.34,0.72,"[-0.6, 1.0, 1.0, -1.0, -0.57]",tip
10,0,-0.66,-2.71,"[-0.6, -1.0, -1.0, -1.0, -0.51]",tip
10,1,-0.73,0.34,"[-0.6, 1.0, -1.0, -1.0, -0.57]",tip
10,2,-0.61,-0.34,"[-0.6, -1.0, -1.0, 1.0, -0.37]",tip
10,3,-0.69,0.19,"[1.0, 1.0, -1.0, -1.0, 0.12]",tip
10,4,-0.65,-0.72,"[-0.6, 1.0, 1.0, -1.0, -0.58]",tip
11,0,-0.83,2.3,"[-0.6, -1.0, 1.0, 1.0, 0.25]",tip
11,1,-0.57,-1.17,"[-0.6, -1.0, 1.0, 1.0, -0.67]",tip
11,2,-0.52,-0.29,"[-0.6, -1.0, 1.0, -1.0, -0.07]",tip
11,3,-0.65,-0.95,"[-0.6, -1.0, -1.0, 1.0, -0.58]",tip
11,4,-0.65,0.12,"[-0.6, 1.0, -1.0, 1.0, -0.58]",tip
12,0,-0.62,0.053,"[-0.6, 1.0, -1.0, -1.0, -0.61]",tip
12,1,-0.63,0.42,"[-0.6, -1.0, -1.0, 1.0, -0.3]",tip
12,2,-0.73,0.19,"[-0.2, -1.0, 1.0, 1.0, -0.01]",tip
12,3,-0.89,-0.75,"[-0.2, 1.0, -1.0, -1.0, -0.35]",tip
12,4,-0.84,-0.53,"[-0.6, -1.0, 1.0, 1.0, -0.18]",tip
13,0,-0.86,2.3,"[0.2, -1.0, -1.0, 1.0, -0.1]",tip
13,1,-0.32,1.19,"[-0.6, 1.0, -1.0, 1.0, -0.81]",tip
13,2,-0.75,0.34,"[0.2, 1.0, -1.0, -1.0, -0.12]",tip
13,3,-0.52,-0.23,"[-0.6, 1.0, -1.0, 1.0, -0.64]",tip
13,4,-0.53,0.01,"[-0.6, -1.0, 1.0, -1.0, -0.48]",tip
14,0,-0.75,2.3,"[0.2, 1.0, -1.0, -1.0, -0.12]",tip
14,1,-0.51,-1.22,"[-0.6, 1.0, -1.0, -1.0, -0.61]",tip
14,2,-0.53,0.49,"[-0.6, -1.0, 1.0, -1.0, -0.48]",tip
14,3,-0.58,-0.52,"[-0.6, 1.0, -1.0, -1.0, -0.65]",tip
14,4,-0.64,-0.52,"[-0.6, -1.0, -1.0, 1.0, -0.6]",tip
15,0,-0.93,-0.8,"[-0.6, -1.0, -1.0, -1.0, -0.42]",tip
15,1,-0.65,0.93,"[-0.6, 1.0, 1.0, -1.0, -0.44]",tip
15,2,-0.87,0.27,"[0.2, -1.0, 1.0, 1.0, 0.46]",tip
15,3,-0.75,-0.37,"[0.2, -1.0, -1.0, -1.0, -0.26]",tip
15,4,-0.44,-0.97,"[-0.6, -1.0, -1.0, 1.0, -0.2]",tip
16,0,-0.59,2.3,"[-0.6, -1.0, 1.0, -1.0, -0.59]",tip
16,1,-0.52,-0.71,"[-0.6, 1.0, 1.0, -1.0, -0.71]",tip
16,2,-0.53,0.34,"[0.2, 1.0, 1.0, 1.0, -0.27]",tip
16,3,-0.69,0.14,"[-0.6, -1.0, -1.0, 1.0, -0.14]",tip
16,4,-0.52,-0.48,"[-0.2, 1.0, 1.0, -1.0, -0.44]",tip
17,0,-0.39,2.1,"[-0.6, 1.0, 1.0, 1.0, -0.43]",tip
17,1,-0.74,0.35,"[-0.2, -1.0, -1.0, -1.0, -0.45]",tip
17,2,-0.47,-1.14,"[-0.6, -1.0, -1.0, 1.0, -0.54]",tip
17,3,-0.81,0.03,"[-0.6, -1.0, 1.0, 1.0, 0.21]",tip
17,4,-0.88,-0.11,"[0.2, -1.0, 1.0, 1.0, 0.49]",tip
18,0,-0.57,0.07,"[-0.6, -1.0, -1.0, 1.0, -0.31]",tip
18,1,-0.7,0.15,"[0.2, -1.0, -1.0, 1.0, -0.36]",tip
18,2,-0.89,-0.53,"[-0.2, -1.0, -1.0, 1.0, 0.07]",tip
18,3,-0.7,0.53,"[-0.6, 1.0, -1.0, -1.0, -0.63]",tip
18,4,-0.89,-0.3,"[-0.6, -1.0, 1.0, -1.0, 0.01]",tip
19,0,-0.82,0.13,"[-0.6, -1.0, 1.0, 1.0, -0.47]",tip
19,1,-0.62,1.18,"[-0.6, -1.0, -1.0, 1.0, -0.36]",tip
19,2,-0.87,0.38,"[-0.6, 1.0, -1.0, 1.0, -0.33]",tip
19,3,-0.68,-0.42,"[-0.2, -1.0, -1.0, 1.0, -0.1]",tip
19,4,-0.89,-0.12,"[-0.6, -1.0, 1.0, -1.0, 0.01]",tip
20,0,-0.86,2.3,"[0.2, -1.0, 1.0, 1.0, -0.12]",tip
20,1,-0.69,0.86,"[1.0, 1.0, -1.0, -1.0, 0.12]",tip
20,2,-0.88,-0.81,"[0.2, -1.0, 1.0, 1.0, 0.49]",tip
20,3,-0.34,0.29,"[-0.6, 1.0, 1.0, -1.0, -0.57]",tip
20,4,-0.56,-0.71,"[0.2, -1.0, -1.0, 1.0, 0.14]",tip
21,0,-0.65,0.12,"[-0.6, -1.0, -1.0, 1.0, -0.58]",tip
21,1,-0.65,0.35,"[-0.6, -1.0, -1.0, -1.0, -0.31]",tip
21,2,-0.61,-0.35,"[-0.2, -1.0, -1.0, 1.0, -0.25]",tip
21,3,-0.75,0.59,"[0.2, 1.0, -1.0, -1.0, -0.12]",tip
21,4,-0.67,-0.63,"[0.2, -1.0, -1.0, 1.0, -0.27]",tip
22,0,-0.24,0.038,"[-0.6, -1.0, -1.0, 1.0, -0.64]",tip
22,1,-0.67,0.41,"[-0.6, -1.0, 1.0, 1.0, 0.01]",tip
22,2,-0.66,0.08,"[-0.2, -1.0, -1.0, 1.0, -0.12]",tip
22,3,-0.47,0.42,"[-0.2, 1.0, 1.0, 1.0, -0.34]",tip
22,4,-0.73,-0.35,"[-0.6, 1.0, -1.0, 1.0, -0.46]",tip
23,0,-0.47,0.22,"[-0.6, -1.0, -1.0, 1.0, -0.54]",tip
23,1,-0.65,0.53,"[-0.6, 1.0, 1.0, 1.0, 0.24]",tip
23,2,-0.75,0.53,"[0.6, 1.0, -1.0, 1.0, 0.6]",tip
23,3,-0.8,-0.35,"[-0.6, -1.0, 1.0, 1.0, 0.09]",tip
23,4,-0.53,-0.5,"[-0.6, 1.0, 1.0, 1.0, -0.7]",tip
24,0,-0.79,2.3,"[0.6, -1.0, 1.0, 1.0, 0.05]",tip
24,1,-0.43,1.21,"[-0.6, -1.0, -1.0, 1.0, -0.38]",tip
24,2,-0.61,-0.61,"[-0.6, -1.0, -1.0, 1.0, -0.7]",tip
24,3,-0.54,0.19,"[-0.6, 1.0, -1.0, 1.0, -0.81]",tip
24,4,-0.59,-0.46,"[-0.6, 1.0, -1.0, 1.0, -0.53]",tip
25,0,-0.8,2.3,"[-0.6, -1.0, 1.0, 1.0, 0.09]",tip
25,1,-0.65,0.4,"[-0.6, 1.0, 1.0, 1.0, -0.31]",tip
25,2,-0.69,1.15,"[-0.6, -1.0, -1.0, -1.0, -0.47]",tip
25,3,-0.67,-0.7,"[-0.6, 1.0, 1.0, 1.0, -0.56]",tip
25,4,-0.76,0.15,"[0.2, -1.0, 1.0, 1.0, 0.55]",tip
26,0,-0.64,0.15,"[-0.6, -1.0, -1.0, 1.0, -0.19]",tip
26,1,-0.45,-0.98,"[-0.6, -1.0, -1.0, 1.0, -0.54]",tip
26,2,-0.79,0.42,"[0.6, -1.0, 1.0, 1.0, 0.05]",tip
26,3,-0.6,-0.21,"[0.2, -1.0, -1.0, 1.0, 0.13]",tip
26,4,-0.65,0.12,"[-0.6, 1.0, 1.0, 1.0, -0.31]",tip
27,0,-0.93,-2.02,"[-0.6, -1.0, -1.0, -1.0, -0.42]",tip
27,1,-0.68,-0.89,"[-0.6, -1.0, -1.0, -1.0, -0.18]",tip
27,2,-0.59,0.07,"[-0.6, 1.0, -1.0, 1.0, -0.53]",tip
27,3,-0.52,-0.34,"[-0.6, -1.0, 1.0, -1.0, -0.07]",tip
27,4,-0.63,-1.08,"[-0.2, -1.0, -1.0, -1.0, -0.7]",tip
28,0,-0.59,0.02,"[-0.6, -1.0, 1.0, -1.0, -0.59]",tip
28,1,-0.75,-0.12,"[0.2, 1.0, -1.0, -1.0, -0.12]",tip
28,2,-0.67,0.44,"[-0.6, 1.0, 1.0, 1.0, -0.56]",tip
28,3,-0.79,0.42,"[0.6, -1.0, 1.0, 1.0, 0.05]",tip
28,4,-0.68,-0.65,"[-0.6, -1.0, 1.0, 1.0, -0.25]",tip
29,0,-0.65,3.2,"[-0.6, -1.0, 1.0, -1.0, -0.19]",tip
29,1,-0.65,0.42,"[-0.6, 1.0, 1.0, -1.0, -0.58]",tip
29,2,-0.85,-0.65,"[-0.6, -1.0, 1.0, -1.0, -0.59]",tip
29,3,-0.69,-0.45,"[-0.6, 1.0, -1.0, -1.0, -0.54]",tip
29,4,-0.72,-0.45,"[-0.6, -1.0, -1.0, 1.0, -0.5]",tip
