x,y,machine,trial,y_pred,subject
0,-98.7,1,1,11.0,1
55,-263.2,1,2,100.0,1
58,-270.1,1,3,123.4,1
59,-272.9,1,4,270.1,1
60,-278.2,1,5,275.7,1
99,-175.4,2,1,100.0,1
12,-108.6,2,2,100.0,1
0,-99.1,2,3,100.0,1
9,-105.4,2,4,100.1,1
42,-133.0,2,5,100.1,1
46,-174.9,3,1,100.0,1
27,-143.0,3,2,100.1,1
41,-165.6,3,3,133.0,1
10,-116.5,3,4,105.4,1
4,-105.5,3,5,100.0,1
33,-162.5,4,1,100.0,1
3,-102.8,4,2,105.5,1
71,-236.7,4,3,133.0,1
30,-155.6,4,4,141.2,1
38,-172.8,4,5,165.6,1
26,-163.7,5,1,100.0,1
11,-126.4,5,2,100.0,1
16,-137.9,5,3,100.0,1
82,-297.1,5,4,241.3,1
59,-242.4,5,5,272.9,1
53,-161.1,1,1,10.0,2
14,-115.8,1,2,14.1,2
92,-209.9,1,3,100.0,2
30,-134.8,1,4,100.0,2
53,-164.8,1,5,161.1,2
90,-175.9,2,1,100.0,2
17,-113.1,2,2,100.1,2
8,-106.9,2,3,100.1,2
45,-138.2,2,4,100.1,2
35,-131.1,2,5,100.1,2
72,-382.8,3,1,161.1,2
38,-246.7,3,2,115.8,2
67,-362.9,3,3,101.1,2
68,-364.3,3,4,101.1,2
61,-337.9,3,5,359.9,2
39,-194.0,4,1,115.8,2
6,-115.8,4,2,113.1,2
35,-185.3,4,3,131.1,2
3,-108.4,4,4,115.8,2
20,-146.8,4,5,115.8,2
84,-80.8,5,1,10.0,2
29,-93.0,5,2,11.1,2
25,-95.3,5,3,10.0,2
47,-87.5,5,4,10.0,2
38,-89.7,5,5,100.0,2
32,-95.1,1,1,10.0,3
88,-88.0,1,2,100.0,3
49,-94.2,1,3,49.0,3
40,-93.4,1,4,40.0,3
6,-98.1,1,5,1.0,3
62,-216.5,2,1,95.1,3
57,-208.1,2,2,10.0,3
56,-207.2,2,3,207.9,3
87,-268.1,2,4,100.0,3
22,-142.8,2,5,10.0,3
28,-176.8,3,1,100.0,3
57,-255.4,3,2,176.8,3
66,-277.6,3,3,255.4,3
50,-235.9,3,4,200.0,3
62,-267.1,3,5,216.5,3
19,-129.0,4,1,100.0,3
81,-218.7,4,2,100.0,3
30,-145.4,4,3,101.1,3
6,-108.6,4,4,100.0,3
40,-159.8,4,5,100.0,3
36,-131.2,5,1,100.0,3
44,-141.2,5,2,131.2,3
9,-108.0,5,3,100.0,3
83,-175.8,5,4,199.0,3
25,-122.8,5,5,111.0,3
65,-245.1,1,1,10.0,4
9,-121.8,1,2,10.0,4
10,-122.1,1,3,121.8,4
22,-150.2,1,4,122.1,4
76,-270.2,1,5,100.1,4
19,-147.5,2,1,121.8,4
49,-229.3,2,2,147.5,4
89,-337.3,2,3,121.8,4
61,-261.6,2,4,100.1,4
5,-111.1,2,5,121.8,4
45,-180.7,3,1,123.1,4
48,-185.6,3,2,180.7,4
11,-118.2,3,3,111.1,4
22,-137.0,3,4,150.2,4
78,-239.0,3,5,270.2,4
29,-151.3,4,1,137.1,4
10,-119.4,4,2,121.8,4
68,-218.7,4,3,268.7,4
8,-115.9,4,4,110.1,4
24,-141.8,4,5,134.2,4
52,-273.5,5,1,198.2,4
45,-251.4,5,2,180.7,4
0,-101.0,5,3,0.0,4
50,-266.1,5,4,250.0,4
82,-372.9,5,5,293.5,4
67,-254.3,1,1,10.0,5
5,-108.3,1,2,10.0,5
67,-252.5,1,3,108.3,5
34,-177.3,1,4,108.3,5
95,-316.1,1,5,100.5,5
92,-360.6,2,1,100.1,5
55,-255.5,2,2,100.1,5
39,-210.6,2,3,100.1,5
25,-171.2,2,4,100.5,5
28,-179.9,2,5,10.1,5
41,-158.2,3,1,100.1,5
73,-204.0,3,2,10.1,5
86,-222.1,3,3,10.0,5
40,-157.0,3,4,158.2,5
93,-232.5,3,5,204.0,5
95,-252.1,4,1,100.0,5
63,-200.5,4,2,108.3,5
53,-183.2,4,3,199.9,5
18,-127.3,4,4,100.0,5
51,-183.0,4,5,100.1,5
93,-312.5,5,1,200.5,5
50,-215.1,5,2,177.3,5
0,-101.3,5,3,0.0,5
47,-208.3,5,4,10.0,5
69,-258.7,5,5,101.3,5
21,-103.1,1,1,10.0,6
57,-107.6,1,2,103.1,6
92,-115.0,1,3,102.1,6
76,-111.7,1,4,100.0,6
52,-108.9,1,5,100.0,6
41,-222.3,2,1,103.1,6
37,-211.2,2,2,222.3,6
14,-140.7,2,3,10.0,6
86,-360.1,2,4,100.0,6
84,-354.2,2,5,359.9,6
87,-408.8,3,1,100.0,6
58,-308.2,3,2,107.6,6
71,-353.3,3,3,301.1,6
29,-204.1,3,4,100.0,6
18,-162.7,3,5,18.0,6
24,-124.1,4,1,10.0,6
20,-117.0,4,2,120.0,6
99,-197.5,4,3,100.0,6
69,-168.0,4,4,10.0,6
59,-159.4,4,5,151.0,6
83,-282.0,5,1,100.0,6
6,-111.8,5,2,10.0,6
33,-172.3,5,3,10.0,6
95,-308.7,5,4,10.0,6
64,-239.5,5,5,10.0,6
30,-172.7,1,1,100.0,7
53,-230.6,1,2,12.3,7
22,-152.3,1,3,10.2,7
41,-200.6,1,4,123.4,7
32,-180.5,1,5,152.3,7
29,-135.5,2,1,172.7,7
5,-106.2,2,2,10.5,7
69,-184.9,2,3,100.2,7
55,-168.5,2,4,100.1,7
78,-193.9,2,5,172.7,7
79,-298.7,3,1,193.9,7
53,-235.3,3,2,130.6,7
53,-234.1,3,3,235.3,7
3,-108.2,3,4,105.9,7
13,-132.5,3,5,10.1,7
44,-121.0,4,1,192.3,7
21,-108.8,4,2,100.0,7
57,-125.2,4,3,193.9,7
50,-121.8,4,4,125.2,7
75,-133.3,4,5,121.0,7
59,-267.4,5,1,100.0,7
24,-169.0,5,2,108.2,7
59,-268.6,5,3,267.4,7
31,-188.6,5,4,100.0,7
37,-204.8,5,5,193.9,7
13,-128.8,1,1,10.0,8
32,-175.6,1,2,128.8,8
94,-323.0,1,3,128.8,8
63,-249.3,1,4,128.0,8
40,-196.0,1,5,128.0,8
55,-196.9,2,1,128.8,8
49,-186.8,2,2,196.9,8
93,-264.4,2,3,123.0,8
37,-165.7,2,4,123.0,8
32,-157.8,2,5,175.6,8
39,-164.8,3,1,196.0,8
26,-139.4,3,2,100.0,8
53,-187.6,3,3,100.0,8
17,-128.4,3,4,100.0,8
66,-207.3,3,5,100.0,8
1,-103.2,4,1,128.0,8
23,-150.9,4,2,103.2,8
71,-258.2,4,3,10.0,8
63,-239.5,4,4,196.0,8
60,-233.8,4,5,196.0,8
2,-101.1,5,1,103.2,8
16,-115.3,5,2,150.0,8
27,-126.9,5,3,101.1,8
13,-113.9,5,4,100.0,8
