x,y,machine,trial,y_pred,subject
45,-135.3,1,1,45.0,1
79,-163.6,1,2,10.2,1
78,-164.6,1,3,163.0,1
66,-154.3,1,4,134.0,1
90,-174.2,1,5,180.0,1
97,-273.2,2,1,10.2,1
69,-223.1,2,2,113.0,1
23,-138.8,2,3,103.0,1
31,-153.8,2,4,138.0,1
96,-271.5,2,5,273.0,1
53,-196.9,3,1,113.0,1
17,-131.4,3,2,100.0,1
35,-162.3,3,3,100.0,1
42,-178.0,3,4,196.0,1
81,-247.0,3,5,202.0,1
0,-98.0,4,1,0.0,1
26,-121.1,4,2,100.0,1
27,-121.5,4,3,122.0,1
32,-126.1,4,4,153.0,1
59,-147.8,4,5,191.0,1
56,-181.7,5,1,196.0,1
74,-206.7,5,2,163.0,1
41,-160.6,5,3,178.0,1
29,-140.7,5,4,121.0,1
91,-229.3,5,5,271.0,1
70,-301.4,1,1,10.0,2
46,-231.3,1,2,10.2,2
6,-116.0,1,3,12.3,2
8,-120.1,1,4,116.0,2
58,-265.1,1,5,100.0,2
2,-102.5,2,1,1.0,2
95,-137.3,2,2,102.0,2
37,-116.1,2,3,11.1,2
72,-129.4,2,4,102.0,2
34,-115.1,2,5,116.0,2
43,-239.3,3,1,102.0,2
44,-242.0,3,2,239.0,2
65,-310.8,3,3,12.0,2
24,-176.8,3,4,116.0,2
93,-403.9,3,5,137.0,2
6,-117.8,4,1,116.0,2
5,-114.4,4,2,116.0,2
51,-227.9,4,3,21.1,2
9,-124.9,4,4,10.1,2
63,-256.1,4,5,310.0,2
86,-305.5,5,1,10.0,2
63,-249.4,5,2,256.0,2
19,-146.6,5,3,101.0,2
87,-309.1,5,4,306.0,2
83,-298.9,5,5,299.0,2
90,-214.2,1,1,10.0,3
52,-164.2,1,2,10.2,3
77,-197.2,1,3,10.2,3
97,-223.1,1,4,10.2,3
4,-102.4,1,5,1.2,3
37,-176.4,2,1,102.0,3
72,-247.5,2,2,194.0,3
22,-145.5,2,3,10.2,3
96,-298.6,2,4,102.0,3
69,-242.2,2,5,102.0,3
93,-225.8,3,1,12.2,3
15,-121.0,3,2,102.0,3
27,-137.1,3,3,102.0,3
88,-216.8,3,4,200.0,3
68,-191.2,3,5,241.0,3
32,-130.3,4,1,160.0,3
44,-141.8,4,2,100.0,3
50,-147.6,4,3,10.0,3
51,-147.3,4,4,148.0,3
30,-128.7,4,5,128.0,3
98,-347.1,5,1,223.0,3
4,-108.9,5,2,102.0,3
74,-286.4,5,3,249.0,3
32,-180.7,5,4,130.0,3
58,-246.0,5,5,10.0,3
10,-112.2,1,1,10.0,4
65,-179.3,1,2,10.2,4
92,-212.2,1,3,10.2,4
80,-200.2,1,4,100.0,4
20,-125.1,1,5,100.0,4
55,-201.6,2,1,100.0,4
56,-201.0,2,2,100.0,4
51,-193.4,2,3,199.0,4
25,-146.5,2,4,125.0,4
84,-251.2,2,5,100.0,4
41,-156.7,3,1,10.2,4
96,-232.7,3,2,100.0,4
48,-167.1,3,3,100.0,4
33,-145.6,3,4,100.0,4
92,-227.9,3,5,212.0,4
94,-298.6,4,1,100.0,4
95,-298.9,4,2,299.0,4
24,-150.3,4,3,146.0,4
4,-108.5,4,4,10.1,4
79,-265.5,4,5,200.0,4
44,-162.5,5,1,167.0,4
47,-166.5,5,2,165.0,4
60,-185.8,5,3,100.0,4
13,-117.7,5,4,100.0,4
4,-107.1,5,5,108.0,4
16,-131.7,1,1,16.0,5
38,-171.0,1,2,10.2,5
46,-186.1,1,3,10.0,5
5,-112.7,1,4,1.0,5
55,-199.7,1,5,10.0,5
72,-302.0,2,1,10.0,5
11,-128.1,2,2,10.0,5
25,-170.6,2,3,10.0,5
26,-173.2,2,4,171.0,5
11,-130.3,2,5,128.0,5
26,-132.1,3,1,173.0,5
45,-154.4,3,2,10.0,5
79,-197.6,3,3,10.0,5
4,-105.2,3,4,112.0,5
86,-208.1,3,5,10.0,5
23,-152.8,4,1,10.0,5
56,-221.5,4,2,199.0,5
94,-305.9,4,3,10.0,5
45,-200.4,4,4,154.0,5
26,-157.7,4,5,132.0,5
63,-136.5,5,1,10.0,5
47,-127.5,5,2,10.0,5
67,-139.4,5,3,136.0,5
97,-157.1,5,4,10.0,5
36,-120.4,5,5,128.0,5
57,-362.8,1,1,10.0,6
67,-407.9,1,2,12.3,6
86,-496.3,1,3,100.0,6
78,-460.7,1,4,321.0,6
44,-301.6,1,5,100.0,6
16,-130.9,2,1,10.2,6
59,-211.0,2,2,101.0,6
43,-179.3,2,3,110.0,6
34,-165.6,2,4,101.0,6
90,-268.7,2,5,100.0,6
69,-411.8,3,1,100.0,6
6,-126.9,3,2,10.0,6
65,-392.0,3,3,401.0,6
78,-450.5,3,4,460.0,6
74,-431.6,3,5,441.0,6
6,-106.8,4,1,126.0,6
96,-253.2,4,2,100.0,6
63,-200.4,4,3,100.0,6
30,-145.4,4,4,100.0,6
98,-256.2,4,5,260.0,6
92,-294.7,5,1,100.0,6
34,-172.9,5,2,165.0,6
82,-273.4,5,3,200.0,6
32,-169.4,5,4,161.0,6
77,-263.7,5,5,449.0,6
58,-149.1,1,1,10.0,7
94,-178.4,1,2,10.2,7
49,-140.5,1,3,12.3,7
75,-163.9,1,4,112.0,7
70,-158.6,1,5,161.0,7
43,-256.5,2,1,10.2,7
37,-235.8,2,2,12.2,7
65,-336.6,2,3,12.3,7
33,-220.1,2,4,235.0,7
21,-177.7,2,5,105.0,7
63,-193.7,3,1,10.2,7
25,-139.5,3,2,100.0,7
70,-204.8,3,3,158.0,7
52,-178.2,3,4,100.0,7
44,-165.6,3,5,140.0,7
88,-260.4,4,1,100.0,7
8,-114.1,4,2,10.1,7
98,-275.4,4,3,100.0,7
98,-275.5,4,4,275.0,7
51,-193.0,4,5,178.0,7
53,-242.7,5,1,100.0,7
23,-162.4,5,2,100.0,7
