machine,subject,x,y_pred
1,1,4,8
1,1,8,64
1,1,12,144
1,1,16,256
1,1,20,400
1,1,24,576
1,1,28,784
1,1,32,1024
1,1,36,1296
1,1,40,1600
1,1,44,1936
1,1,48,2304
1,1,52,2704
1,1,56,3136
1,1,60,3600
1,1,64,4096
1,1,68,4624
1,1,72,5184
1,1,76,5776
1,1,80,6400
1,1,84,7056
1,1,88,7744
1,1,92,8464
1,1,96,9216
1,1,100,10000
1,2,4,16
1,2,8,64
1,2,12,144
1,2,16,256
1,2,20,400
1,2,24,576
1,2,28,784
1,2,32,1024
1,2,36,1296
1,2,40,1600
1,2,44,1936
1,2,48,2304
1,2,52,2704
1,2,56,3136
1,2,60,3600
1,2,64,4096
1,2,68,4624
1,2,72,5184
1,2,76,5786
1,2,80,6400
1,2,84,7056
1,2,88,7744
1,2,92,8464
1,2,96,9216
1,2,100,10000
1,3,4,7
1,3,8,11
1,3,12,15
1,3,16,19
1,3,20,23
1,3,24,27
1,3,28,31
1,3,32,35
1,3,36,39
1,3,40,43
1,3,44,47
1,3,48,51
1,3,52,55
1,3,56,59
1,3,60,63
1,3,64,67
1,3,68,71
1,3,72,75
1,3,76,79
1,3,80,83
1,3,84,87
1,3,88,91
1,3,92,95
1,3,96,99
1,3,100,103
1,4,4,16
1,4,8,128
1,4,12,12
1,4,16,4
1,4,20,20
1,4,24,48
1,4,28,112
1,4,32,256
1,4,36,216
1,4,40,200
1,4,44,196
1,4,48,192
1,4,52,188
1,4,56,184
1,4,60,180
1,4,64,176
1,4,68,172
1,4,72,168
1,4,76,164
1,4,80,160
1,4,84,156
1,4,88,152
1,4,92,148
1,4,96,144
1,4,100,140
1,5,4,16
1,5,8,64
1,5,12,144
1,5,16,256
1,5,20,400
1,5,24,576
1,5,28,784
1,5,32,1024
1,5,36,1296
1,5,40,1600
1,5,44,1936
1,5,48,2304
1,5,52,2704
1,5,56,3136
1,5,60,3600
1,5,64,4096
1,5,68,4624
1,5,72,5184
1,5,76,5776
1,5,80,6400
1,5,84,7056
1,5,88,7744
1,5,92,8464
1,5,96,9216
1,5,100,10000
1,6,4,10
1,6,8,12
1,6,12,14
1,6,16,16
1,6,20,18
1,6,24,20
1,6,28,22
1,6,32,24
1,6,36,26
1,6,40,28
1,6,44,30
1,6,48,32
