machine,subject,x,y_pred
1,1,1.0,4
1,1,4.0,16
1,1,7.0,49
1,1,10.0,100
1,1,15.0,225
1,1,20.0,400
1,1,30.0,900
1,1,40.0,1600
1,1,50.0,2500
1,1,60.0,3600
1,1,70.0,4900
1,1,80.0,6400
1,1,90.0,8100
1,1,100.0,10000
1,2,1.0,2
1,2,4.0,5
1,2,7.0,8
1,2,10.0,11
1,2,15.0,16
1,2,20.0,21
1,2,30.0,31
1,2,40.0,41
1,2,50.0,51
1,2,60.0,61
1,2,70.0,71
1,2,80.0,81
1,2,90.0,91
1,2,100.0,101
1,3,1.0,2
1,3,4.0,8
1,3,7.0,14
1,3,10.0,20
1,3,15.0,30
1,3,20.0,40
1,3,30.0,60
1,3,40.0,80
1,3,50.0,100
1,3,60.0,120
1,3,70.0,140
1,3,80.0,160
1,3,90.0,180
1,3,100.0,200
1,4,1.0,4
1,4,4.0,16
1,4,7.0,49
1,4,10.0,100
1,4,15.0,225
1,4,20.0,400
1,4,30.0,900
1,4,40.0,1600
1,4,50.0,2500
1,4,60.0,3600
1,4,70.0,4900
1,4,80.0,6400
1,4,90.0,8100
1,4,100.0,10000
1,5,1.0,1
1,5,4.0,4
1,5,7.0,7
1,5,10.0,10
1,5,15.0,15
1,5,20.0,20
1,5,30.0,30
1,5,40.0,40
1,5,50.0,50
1,5,60.0,60
1,5,70.0,70
1,5,80.0,80
1,5,90.0,90
1,5,100.0,100
1,6,1.0,2
1,6,4.0,5
1,6,7.0,8
1,6,10.0,11
1,6,15.0,18
1,6,20.0,25
1,6,30.0,38
1,6,40.0,53
1,6,50.0,70
1,6,60.0,89
1,6,70.0,110
1,6,80.0,133
1,6,90.0,158
1,6,100.0,185
1,7,1.0,4
1,7,4.0,16
1,7,7.0,36
1,7,10.0,64
1,7,15.0,225
1,7,20.0,400
1,7,30.0,1600
1,7,40.0,3200
1,7,50.0,6400
1,7,60.0,12000
1,7,70.0,20589
1,7,80.0,32000
1,7,90.0,50625
1,7,100.0,81000
1,8,1.0,5
1,8,4.0,16
1,8,7.0,31
1,8,10.0,50
1,8,15.0,85
1,8,20.0,136
1,8,30.0,266
1,8,40.0,446
1,8,50.0,706
1,8,60.0,1056
1,8,70.0,1531
1,8,80.0,2136
1,8,90.0,2881
1,8,100.0,3786
1,9,1.0,0
1,9,4.0,1
1,9,7.0,0
1,9,10.0,1
1,9,15.0,0
1,9,20.0,1
1,9,30.0,0
1,9,40.0,1
1,9,50.0,0
1,9,60.0,1
1,9,70.0,0
1,9,80.0,1
1,9,90.0,0
1,9,100.0,1
1,10,1.0,2
1,10,4.0,5
1,10,7.0,8
1,10,10.0,11
1,10,15.0,16
1,10,20.0,21
1,10,30.0,31
1,10,40.0,41
1,10,50.0,51
1,10,60.0,61
1,10,70.0,71
1,10,80.0,81
1,10,90.0,91
1,10,100.0,101
1,11,1.0,1
1,11,4.0,0
1,11,7.0,1
1,11,10.0,0
1,11,15.0,1
1,11,20.0,0
1,11,30.0,1
1,11,40.0,0
1,11,50.0,1
1,11,60.0,0
1,11,70.0,1
1,11,80.0,0
1,11,90.0,1
1,11,100.0,0
1,12,1.0,1
1,12,4.0,4
1,12,7.0,7
1,12,10.0,10
1,12,15.0,15
1,12,20.0,20
1,12,30.0,30
1,12,40.0,40
1,12,50.0,50
1,12,60.0,60
1,12,70.0,70
1,12,80.0,80
1,12,90.0,90
1,12,100.0,100
1,13,1.0,4
1,13,4.0,16
1,13,7.0,49
1,13,10.0,100
1,13,15.0,225
1,13,20.0,400
1,13,30.0,900
1,13,40.0,1600
1,13,50.0,2500
1,13,60.0,3600
1,13,70.0,4900
1,13,80.0,6400
1,13,90.0,8100
1,13,100.0,10000
1,14,1.0,2
1,14,4.0,5
1,14,7.0,10
1,14,10.0,14
1,14,15.0,22
1,14,20.0,30
1,14,30.0,42
1,14,40.0,56
1,14,50.0,72
1,14,60.0,90
1,14,70.0,110
1,14,80.0,132
1,14,90.0,156
1,14,100.0,182
1,15,1.0,2
1,15,4.0,7
1,15,7.0,11
1,15,10.0,15
1,15,15.0,22
1,15,20.0,30
1,15,30.0,42
1,15,40.0,56
1,15,50.0,72
1,15,60.0,90
1,15,70.0,110
1,15,80.0,132
1,15,90.0,156
1,15,100.0,182
1,16,1.0,5
1,16,4.0,18
1,16,7.0,31
1,16,10.0,44
1,16,15.0,69
1,16,20.0,94
1,16,30.0,144
1,16,40.0,194
1,16,50.0,244
1,16,60.0,294
1,16,70.0,344
1,16,80.0,394
1,16,90.0,444
1,16,100.0,494
1,17,1.0,4
1,17,4.0,16
1,17,7.0,49
1,17,10.0,100
1,17,15.0,225
1,17,20.0,400
1,17,30.0,900
1,17,40.0,1600
1,17,50.0,2500
1,17,60.0,3600
1,17,70.0,4900
1,17,80.0,6400
1,17,90.0,8100
1,17,100.0,10000
1,18,1.0,100
1,18,4.0,200
1,18,7.0,300
1,18,10.0,400
1,18,15.0,500
1,18,20.0,600
1,18,30.0,700
1,18,40.0,800
1,18,50.0,900
1,18,60.0,1000
1,18,70.0,1100
1,18,80.0,1200
1,18,90.0,1300
1,18,100.0,1400
1,19,1.0,4
1,19,4.0,16
1,19,7.0,49
1,19,10.0,100
1,19,15.0,225
1,19,20.0,400
1,19,30.0,900
1,19,40.0,1600
1,19,50.0,2500
1,19,60.0,3600
1,19,70.0,4900
1,19,80.0,6400
1,19,90.0,8100
1,19,100.0,10000
1,20,1.0,2
1,20,4.0,16
1,20,7.0,128
1,20,10.0,1024
1,20,15.0,32768
1,20,20.0,1048576
1,20,30.0,1073741824
1,20,40.0,1099511627776
1,20,50.0,1125899906842624
1,20,60.0,1180591620717411303424
1,20,70.0,1208925819614629174706176
1,20,80.0,1237940039285380274899124224
1,20,90.0,1267650600228229401496703205376
1,20,100.0,12976931348623159077293051907876144
