machine,subject,x,y_pred
1,1,4,16
1,1,8,64
1,1,12,144
1,1,16,256
1,1,20,400
1,1,24,576
1,1,28,784
1,1,32,1024
1,1,36,1296
1,1,40,1600
1,1,44,1936
1,1,48,2304
1,1,52,2704
1,1,56,3136
1,1,60,3600
1,1,64,4096
1,1,68,4624
1,1,72,5184
1,1,76,5786
1,1,80,6400
1,1,84,7056
1,1,88,7744
1,1,92,8464
1,1,96,9216
1,1,100,10000
1,2,4,7
1,2,8,11
1,2,12,15
1,2,16,19
1,2,20,23
1,2,24,27
1,2,28,31
1,2,32,35
1,2,36,39
1,2,40,43
1,2,44,47
1,2,48,51
1,2,52,55
1,2,56,59
1,2,60,63
1,2,64,67
1,2,68,71
1,2,72,75
1,2,76,79
1,2,80,83
1,2,84,87
1,2,88,91
1,2,92,95
1,2,96,99
1,2,100,103
1,3,4,8
1,3,8,1024
1,3,12,4096
1,3,16,65536
1,3,20,1048576
1,3,24,16777216
1,3,28,268435456
1,3,32,4294967296
1,3,36,68719476736
1,3,40,1099511627776
1,3,44,17592186044416
1,3,48,281474976710656
1,3,52,4503599627370496
1,3,56,72057594037927936
1,3,60,1152921504606846976
1,3,64,18446744073709551616
1,3,68,295147905179352825856
1,3,72,4722366482869645213696
1,3,76,75557863725914323419136
1,3,80,1208925819614629174706176
1,3,84,19342813113834066795298816
1,3,88,311758198106687308651756288
1,3,92,4990673976545873559013285504
1,3,96,805306365204502077596406400256
1,3,100,130206199266946312064812828288256
1,4,4,16
1,4,8,64
1,4,12,192
1,4,16,512
1,4,20,1280
1,4,24,3328
1,4,28,8192
1,4,32,20480
1,4,36,53760
1,4,40,139264
1,4,44,360448
1,4,48,928960
1,4,52,2375680
1,4,56,61440
1,4,60,1572864
1,4,64,4026560
1,4,68,10168320
1,4,72,25740800
1,4,76,65486848
1,4,80,167813120
1,4,84,425233408
1,4,88,1073709056
1,4,92,2694881408
1,4,96,6879707392
1,4,100,17195970304
1,5,4,2
1,5,8,40
1,5,12,68
1,5,16,98
1,5,20,132
1,5,24,170
1,5,28,212
1,5,32,258
1,5,36,308
1,5,40,362
1,5,44,420
1,5,48,482
1,5,52,548
1,5,56,618
1,5,60,692
1,5,64,770
1,5,68,852
1,5,72,938
1,5,76,1028
1,5,80,1122
1,5,84,1220
1,5,88,1322
1,5,92,1428
1,5,96,1538
1,5,100,1652
1,6,4,8
1,6,8,64
1,6,12,576
1,6,16,4096
1,6,20,32768
1,6,24,262144
1,6,28,2097152
1,6,32,16777216
1,6,36,134217728
1,6,40,1073741824
1,6,44,8590929024
1,6,48,68719476736
1,6,52,549755813888
1,6,56,4398046511104
1,6,60,35184372088832
1,6,64,281474976710656
1,6,68,2251799813010816
1,6,72,18014398281257984
1,6,76,144115188460441472
1,6,80,1152921504606846976
1,6,84,9223372036854775808
1,6,88,73727281953061484832
1,6,92,5908425036606391744
1,6,96,4738381049153265914176
1,6,100,377147953488603138562496
1,7,4,16
1,7,8,64
1,7,12,144
1,7,16,256
1,7,20,400
1,7,24,576
1,7,28,784
1,7,32,1024
1,7,36,1296
1,7,40,1600
1,7,44,1936
1,7,48,2304
1,7,52,2704
1,7,56,3136
1,7,60,3600
1,7,64,4096
1,7,68,4624
1,7,72,5184
1,7,76,5776
1,7,80,6400
1,7,84,7056
1,7,88,7744
1,7,92,8464
1,7,96,9216
1,7,100,10000
1,8,4,16
1,8,8,64
1,8,12,144
1,8,16,256
1,8,20,400
1,8,24,576
1,8,28,784
1,8,32,1024
1,8,36,1296
1,8,40,1600
1,8,44,1936
1,8,48,2304
1,8,52,2704
1,8,56,3136
1,8,60,3600
1,8,64,4096
1,8,68,4624
1,8,72,5184
1,8,76,5786
1,8,80,6400
1,8,84,7056
